Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0	0.0
1	0	C_EQ_1	C_EQ_2	1.0	0.900121440571
1	0	C_EQ_2	C_EQ_1	0.571428571429	0.725338691678
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	0.0	0.0
1	1	C_EQ_1	C_EQ_2	0.181818181818	0.838881182239
1	1	C_EQ_2	C_EQ_1	0.571428571429	0.725338691678
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	0.0	0.0
1	2	C_EQ_1	C_EQ_2	1.0	0.871646342044
1	2	C_EQ_2	C_EQ_1	0.571428571429	0.725338691678
1	2	C_EQ_2	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.962264150943	0.857021295976
2	1	C_EQ_1	C_EQ_1	0.962264150943	0.857021295976
2	1	C_EQ_1	C_EQ_2	0.139726027397	0.838881182239
2	1	C_EQ_1	C_EQ_3	0.0563909774436	0.435112826491
2	1	C_EQ_1	C_EQ_4	0.0515463917526	0.435112826491
2	1	C_EQ_2	C_EQ_1	0.0513595166163	0.416768173438
2	1	C_EQ_2	C_EQ_2	0.177083333333	0.668291633984
2	1	C_EQ_2	C_EQ_3	0.273092369478	0.74164497934
2	1	C_EQ_2	C_EQ_4	0.425	0.938759741668
3	0	C_EQ_1	C_EQ_1	0.00361532899494	0.706929935082
3	1	C_EQ_1	C_EQ_1	0.00361532899494	0.706929935082
4	0	C_EQ_1	C_EQ_1	1.0	0.938759741668
4	1	C_EQ_1	C_EQ_1	1.0	0.938759741668
5	0	C_EQ_1	C_EQ_1	0.115131578947	0.833008040947
5	0	C_EQ_1	C_EQ_2	0.115131578947	0.833008040947
5	0	C_EQ_2	C_EQ_1	0.577197149644	0.852890274135
5	0	C_EQ_2	C_EQ_2	0.97619047619	0.910284643142
5	1	C_EQ_1	C_EQ_1	0.115131578947	0.833008040947
5	1	C_EQ_1	C_EQ_2	0.115131578947	0.833008040947
5	1	C_EQ_2	C_EQ_1	0.952941176471	0.877519483337
5	1	C_EQ_2	C_EQ_2	0.97619047619	0.877519483337
5	2	C_EQ_1	C_EQ_1	0.2	0.857021295976
5	2	C_EQ_2	C_EQ_1	0.2	0.857021295976
6	0	C_EQ_1	C_EQ_1	0.754545454545	0.830288316902
6	0	C_EQ_1	C_EQ_2	0.00196985878723	0.58722723865
6	0	C_EQ_1	C_EQ_3	0.146126760563	0.779744693781
6	0	C_EQ_2	C_EQ_1	0.00199620000481	0.58722723865
6	0	C_EQ_2	C_EQ_2	0.651491365777	0.922723397804
6	0	C_EQ_2	C_EQ_3	0.00593662828124	0.604129249622
6	1	C_EQ_1	C_EQ_1	0.00583616547521	0.604129249622
6	1	C_EQ_1	C_EQ_2	0.558546433378	0.884085096707
6	1	C_EQ_1	C_EQ_3	0.00717269191992	0.604129249622
6	1	C_EQ_2	C_EQ_1	0.233146067416	0.866333439492
6	1	C_EQ_2	C_EQ_2	0.0058046017204	0.588461457748
6	1	C_EQ_2	C_EQ_3	0.134989280698	0.849044384811
6	2	C_EQ_1	C_EQ_1	0.134989280698	0.849044384811
6	2	C_EQ_1	C_EQ_2	0.0058046017204	0.588461457748
6	2	C_EQ_1	C_EQ_3	0.193313298272	0.842067380014
6	2	C_EQ_2	C_EQ_1	0.200922913987	0.866333439492
6	2	C_EQ_2	C_EQ_2	0.00813645721008	0.604129249622
6	2	C_EQ_2	C_EQ_3	0.754545454545	0.910284643142
6	2	C_EQ_3	C_EQ_1	0.00592403298873	0.604129249622
6	2	C_EQ_3	C_EQ_2	0.44347826087	0.884085096707
6	2	C_EQ_3	C_EQ_3	0.00558047926469	0.604129249622
6	3	C_EQ_1	C_EQ_1	0.257763975155	0.838881182239
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.627450980392	0.900121440571
7	0	C_EQ_2	C_EQ_1	0.0538922155689	0.857021295976
7	1	C_EQ_1	C_EQ_1	0.627450980392	0.900121440571
8	0	C_EQ_1	C_EQ_1	1.0	0.900121440571
8	0	C_EQ_1	C_EQ_2	0.0909090909091	0.842067380014
8	0	C_EQ_1	C_EQ_3	0.939393939394	0.871646342044
8	0	C_EQ_1	C_EQ_4	0.0878186968839	0.801813218375
8	0	C_EQ_2	C_EQ_1	0.939393939394	0.871646342044
8	0	C_EQ_2	C_EQ_2	0.0878186968839	0.801813218375
8	0	C_EQ_2	C_EQ_3	1.0	0.922723397804
8	0	C_EQ_2	C_EQ_4	0.0909090909091	0.849044384811
8	0	C_EQ_3	C_EQ_1	0.0909090909091	0.842067380014
8	0	C_EQ_3	C_EQ_2	1.0	0.900121440571
8	0	C_EQ_3	C_EQ_3	0.0878186968839	0.801813218375
8	0	C_EQ_3	C_EQ_4	0.939393939394	0.866333439492
8	0	C_EQ_4	C_EQ_1	0.0878186968839	0.801813218375
8	0	C_EQ_4	C_EQ_2	0.939393939394	0.866333439492
8	0	C_EQ_4	C_EQ_3	0.0909090909091	0.849044384811
8	0	C_EQ_4	C_EQ_4	1.0	0.910284643142
8	1	C_EQ_1	C_EQ_1	0.939393939394	0.884085096707
8	1	C_EQ_1	C_EQ_2	0.939393939394	0.884085096707
8	1	C_EQ_2	C_EQ_1	1.0	0.910284643142
8	1	C_EQ_2	C_EQ_2	1.0	0.910284643142
9	0	C_EQ_1	C_EQ_1	0.0479233226837	0.494028846705
9	1	C_EQ_1	C_EQ_1	0.0287907869482	0.494028846705
10	0	C_EQ_1	C_EQ_1	0.8	0.900121440571
10	1	C_EQ_1	C_EQ_1	0.484848484848	0.838881182239
10	2	C_EQ_1	C_EQ_1	0.8	0.900121440571
11	0	C_EQ_1	C_EQ_1	1.0	0.884085096707
11	1	C_EQ_1	C_EQ_1	0.214285714286	0.861483139473
11	1	C_EQ_1	C_EQ_2	0.272727272727	0.861483139473
11	1	C_EQ_2	C_EQ_1	1.0	0.922723397804
11	1	C_EQ_2	C_EQ_2	0.4	0.871646342044
12	0	C_EQ_1	C_EQ_1	0.0	0.0
12	1	C_EQ_1	C_EQ_1	0.0	0.0
13	0	C_EQ_1	C_EQ_1	0.142857142857	0.871646342044
13	1	C_EQ_1	C_EQ_1	0.142857142857	0.871646342044
14	0	C_EQ_1	C_EQ_1	1.0	0.910284643142
14	1	C_EQ_1	C_EQ_1	1.0	0.891528575233
15	0	C_EQ_1	C_EQ_1	1.0	0.922723397804
15	1	C_EQ_1	C_EQ_1	1.0	0.922723397804
16	0	C_EQ_1	C_EQ_1	0.00644122383253	0.691330795697
16	1	C_EQ_1	C_EQ_1	0.00644122383253	0.691330795697
17	0	C_EQ_1	C_EQ_1	0.440176908752	0.938759741668
17	0	C_EQ_2	C_EQ_1	0.0087205966724	0.627099758846
17	1	C_EQ_1	C_EQ_1	0.0087205966724	0.627099758846
17	1	C_EQ_2	C_EQ_1	0.440176908752	0.922723397804
18	0	C_EQ_1	C_EQ_1	0.521126760563	0.884085096707
18	1	C_EQ_1	C_EQ_1	0.748987854251	0.922723397804
19	0	C_EQ_1	C_EQ_1	0.976470588235	0.801813218375
19	1	C_EQ_1	C_EQ_1	0.976470588235	0.801813218375
19	2	C_EQ_1	C_EQ_1	0.976470588235	0.830288316902
20	0	C_EQ_1	C_EQ_1	1.0	0.910284643142
20	0	C_EQ_1	C_EQ_2	0.342857142857	0.884085096707
20	0	C_EQ_2	C_EQ_1	0.342857142857	0.884085096707
20	0	C_EQ_2	C_EQ_2	1.0	0.938759741668
20	1	C_EQ_1	C_EQ_1	1.0	0.910284643142
20	1	C_EQ_1	C_EQ_2	0.342857142857	0.884085096707
20	1	C_EQ_2	C_EQ_1	0.342857142857	0.884085096707
20	1	C_EQ_2	C_EQ_2	1.0	0.938759741668
21	0	C_EQ_1	C_EQ_1	0.141347424042	0.849044384811
21	1	C_EQ_1	C_EQ_1	0.141347424042	0.849044384811
21	1	C_EQ_1	C_EQ_2	0.652173913043	0.891528575233
21	1	C_EQ_2	C_EQ_1	0.114155251142	0.849044384811
21	1	C_EQ_2	C_EQ_2	0.981818181818	0.938759741668
22	0	C_EQ_1	C_EQ_1	1.0	0.900121440571
22	1	C_EQ_1	C_EQ_1	0.555555555556	0.861483139473
23	0	C_EQ_1	C_EQ_1	3.36471142423e-05	0.389427368949
23	1	C_EQ_1	C_EQ_1	3.36471142423e-05	0.389427368949
24	0	C_EQ_1	C_EQ_1	0.285714285714	0.900121440571
24	1	C_EQ_1	C_EQ_1	0.000565738854945	0.406686013373
24	1	C_EQ_2	C_EQ_1	1.0	0.938759741668
24	1	C_EQ_3	C_EQ_1	0.000565738854945	0.406686013373
25	0	C_EQ_1	C_EQ_1	0.149122807018	0.861483139473
25	1	C_EQ_1	C_EQ_1	0.149122807018	0.861483139473
26	0	C_EQ_1	C_EQ_1	0.690909090909	0.938759741668
26	1	C_EQ_1	C_EQ_1	0.195372750643	0.866333439492
26	1	C_EQ_1	C_EQ_2	0.690909090909	0.938759741668
26	1	C_EQ_2	C_EQ_1	0.690909090909	0.922723397804
26	1	C_EQ_2	C_EQ_2	0.195372750643	0.866333439492
27	0	C_EQ_1	C_EQ_1	0.121457489879	0.636931155168
27	1	C_EQ_1	C_EQ_1	0.121457489879	0.636931155168
28	0	C_EQ_1	C_EQ_1	0.125	0.702736734444
28	1	C_EQ_1	C_EQ_1	0.125	0.702736734444
28	1	C_EQ_2	C_EQ_1	0.103603603604	0.640960478854
29	0	C_EQ_1	C_EQ_1	0.823529411765	0.842067380014
29	1	C_EQ_1	C_EQ_1	0.823529411765	0.842067380014
30	0	C_EQ_1	C_EQ_1	0.408633093525	0.871646342044
30	1	C_EQ_1	C_EQ_1	0.408633093525	0.871646342044
31	0	C_EQ_1	C_EQ_1	0.122727272727	0.900121440571
31	1	C_EQ_1	C_EQ_1	0.122727272727	0.900121440571
32	0	C_EQ_1	C_EQ_1	0.488372093023	0.900121440571
32	1	C_EQ_1	C_EQ_1	0.488372093023	0.900121440571
33	0	C_EQ_1	C_EQ_1	0.112033195021	0.569192713632
33	0	C_EQ_1	C_EQ_2	1.0	0.891528575233
33	0	C_EQ_1	C_EQ_3	0.112033195021	0.569192713632
33	0	C_EQ_2	C_EQ_1	0.333333333333	0.922723397804
33	0	C_EQ_2	C_EQ_2	0.112033195021	0.569192713632
33	0	C_EQ_2	C_EQ_3	0.326424870466	0.80509318116
33	0	C_EQ_3	C_EQ_1	0.326424870466	0.80509318116
33	0	C_EQ_3	C_EQ_2	0.112033195021	0.569192713632
33	0	C_EQ_3	C_EQ_3	0.333333333333	0.891528575233
33	1	C_EQ_1	C_EQ_1	0.969230769231	0.808578271262
33	1	C_EQ_1	C_EQ_2	0.969230769231	0.808578271262
33	1	C_EQ_1	C_EQ_3	1.0	0.891528575233
33	1	C_EQ_1	C_EQ_4	0.112033195021	0.569192713632
33	2	C_EQ_1	C_EQ_1	0.100371747212	0.569192713632
33	2	C_EQ_1	C_EQ_2	0.100371747212	0.569192713632
33	2	C_EQ_1	C_EQ_3	0.714285714286	0.884085096707
33	2	C_EQ_2	C_EQ_1	0.969230769231	0.808578271262
33	2	C_EQ_2	C_EQ_2	1.0	0.891528575233
33	2	C_EQ_2	C_EQ_3	0.100371747212	0.569192713632
33	2	C_EQ_3	C_EQ_1	1.0	0.900121440571
33	2	C_EQ_3	C_EQ_2	0.969230769231	0.808578271262
33	2	C_EQ_3	C_EQ_3	0.100371747212	0.569192713632
33	3	C_EQ_1	C_EQ_1	0.571428571429	0.838881182239
33	3	C_EQ_1	C_EQ_2	0.375	0.822844838375
33	3	C_EQ_2	C_EQ_1	0.428571428571	0.822844838375
33	3	C_EQ_2	C_EQ_2	1.0	0.900121440571
33	4	C_EQ_1	C_EQ_1	1.0	0.900121440571
34	0	C_EQ_1	C_EQ_1	0.721153846154	0.877519483337
34	1	C_EQ_1	C_EQ_1	0.721153846154	0.877519483337
34	1	C_EQ_1	C_EQ_2	0.548866855524	0.845446795609
34	1	C_EQ_2	C_EQ_1	0.568251252597	0.845446795609
34	1	C_EQ_2	C_EQ_2	0.721153846154	0.891528575233
34	2	C_EQ_1	C_EQ_1	0.721153846154	0.891528575233
34	3	C_EQ_1	C_EQ_1	0.721153846154	0.877519483337
34	3	C_EQ_1	C_EQ_2	0.471213159698	0.835867297694
34	3	C_EQ_2	C_EQ_1	0.491885282348	0.842067380014
34	3	C_EQ_2	C_EQ_2	0.599918655098	0.938759741668
35	0	C_EQ_1	C_EQ_1	0.965517241379	0.891528575233
35	1	C_EQ_1	C_EQ_1	0.965517241379	0.891528575233
36	0	C_EQ_1	C_EQ_1	0.284	0.833008040947
36	1	C_EQ_1	C_EQ_1	0.546153846154	0.961361698902
36	1	C_EQ_1	C_EQ_2	0.209748892171	0.833008040947
36	1	C_EQ_2	C_EQ_1	0.219474497682	0.833008040947
36	1	C_EQ_2	C_EQ_2	0.546153846154	0.961361698902
37	0	C_EQ_1	C_EQ_1	0.5	0.827695138394
37	0	C_EQ_2	C_EQ_1	0.5	0.827695138394
37	1	C_EQ_1	C_EQ_1	0.5	0.842067380014
37	1	C_EQ_2	C_EQ_1	0.5	0.842067380014
38	0	C_EQ_1	C_EQ_1	0.571428571429	0.884085096707
38	1	C_EQ_1	C_EQ_1	0.265625	0.765616619373
38	1	C_EQ_1	C_EQ_2	1.0	0.866333439492
38	2	C_EQ_1	C_EQ_1	0.482142857143	0.838881182239
39	0	C_EQ_1	C_EQ_1	0.020725388601	0.386723534243
39	1	C_EQ_1	C_EQ_1	0.0570409982175	0.657145194606
39	2	C_EQ_1	C_EQ_1	0.0725623582766	0.657145194606
39	3	C_EQ_1	C_EQ_1	0.0725623582766	0.657145194606
39	3	C_EQ_1	C_EQ_2	0.0570409982175	0.657145194606
39	3	C_EQ_2	C_EQ_1	0.0725623582766	0.657145194606
39	3	C_EQ_2	C_EQ_2	0.0570409982175	0.657145194606
40	0	C_EQ_1	C_EQ_1	0.756756756757	0.938759741668
40	0	C_EQ_2	C_EQ_1	0.00518999073216	0.626410710698
40	1	C_EQ_1	C_EQ_1	0.756756756757	0.910284643142
40	2	C_EQ_1	C_EQ_1	0.756756756757	0.938759741668
40	2	C_EQ_2	C_EQ_1	0.00518999073216	0.626410710698
41	0	C_EQ_1	C_EQ_1	0.125	0.861483139473
41	0	C_EQ_2	C_EQ_1	0.0362903225806	0.389427368949
41	1	C_EQ_1	C_EQ_1	1.0	0.910284643142
41	1	C_EQ_1	C_EQ_2	0.11320754717	0.65225529012
41	1	C_EQ_2	C_EQ_1	0.11320754717	0.65225529012
41	1	C_EQ_2	C_EQ_2	1.0	0.938759741668
42	0	C_EQ_1	C_EQ_1	0.415841584158	0.861483139473
42	1	C_EQ_1	C_EQ_1	0.333333333333	0.900121440571
42	2	C_EQ_1	C_EQ_1	0.415841584158	0.861483139473
43	0	C_EQ_1	C_EQ_1	0.136791108578	0.938759741668
43	1	C_EQ_1	C_EQ_1	0.00394282897979	0.695902478215
43	2	C_EQ_1	C_EQ_1	0.00394282897979	0.695902478215
44	0	C_EQ_1	C_EQ_1	0.489852398524	0.857021295976
44	0	C_EQ_1	C_EQ_2	0.540627514079	0.866333439492
44	0	C_EQ_2	C_EQ_1	0.489852398524	0.857021295976
44	0	C_EQ_2	C_EQ_2	0.540627514079	0.866333439492
44	1	C_EQ_1	C_EQ_1	0.69776609724	0.900121440571
44	1	C_EQ_1	C_EQ_2	0.781395348837	0.910284643142
44	1	C_EQ_2	C_EQ_1	0.69776609724	0.900121440571
44	1	C_EQ_2	C_EQ_2	0.781395348837	0.910284643142
45	0	C_EQ_1	C_EQ_1	0.321428571429	0.861483139473
45	1	C_EQ_1	C_EQ_1	0.321428571429	0.877519483337
46	0	C_EQ_1	C_EQ_1	0.0739726027397	0.783057150466
46	0	C_EQ_2	C_EQ_1	0.00656814449918	0.387948752017
46	1	C_EQ_1	C_EQ_1	0.0739726027397	0.783057150466
46	1	C_EQ_2	C_EQ_1	0.00656814449918	0.387948752017
47	0	C_EQ_1	C_EQ_1	0.714285714286	0.900121440571
47	1	C_EQ_1	C_EQ_1	0.729166666667	0.938759741668
47	1	C_EQ_1	C_EQ_2	0.640677966102	0.849044384811
47	1	C_EQ_1	C_EQ_3	0.708092485549	0.877519483337
47	1	C_EQ_1	C_EQ_4	0.715569534936	0.877519483337
47	1	C_EQ_2	C_EQ_1	0.628185242632	0.849044384811
47	1	C_EQ_2	C_EQ_2	0.729166666667	0.910284643142
47	1	C_EQ_2	C_EQ_3	0.621710526316	0.849044384811
47	1	C_EQ_2	C_EQ_4	0.628185242632	0.849044384811
47	1	C_EQ_3	C_EQ_1	0.709828393136	0.877519483337
47	1	C_EQ_3	C_EQ_2	0.635507733692	0.849044384811
47	1	C_EQ_3	C_EQ_3	0.729166666667	0.938759741668
47	1	C_EQ_3	C_EQ_4	0.709828393136	0.877519483337
47	1	C_EQ_4	C_EQ_1	0.715569534936	0.877519483337
47	1	C_EQ_4	C_EQ_2	0.640677966102	0.849044384811
47	1	C_EQ_4	C_EQ_3	0.708092485549	0.877519483337
47	1	C_EQ_4	C_EQ_4	0.729166666667	0.938759741668
47	1	C_EQ_5	C_EQ_1	0.00186421173763	0.55959255858
47	1	C_EQ_5	C_EQ_2	0.00204081632653	0.55959255858
47	1	C_EQ_5	C_EQ_3	0.00184426229508	0.55959255858
47	1	C_EQ_5	C_EQ_4	0.00186421173763	0.55959255858
48	0	C_EQ_1	C_EQ_1	0.150220913108	0.842067380014
48	0	C_EQ_1	C_EQ_2	0.150220913108	0.842067380014
48	0	C_EQ_2	C_EQ_1	0.150220913108	0.842067380014
48	0	C_EQ_2	C_EQ_2	0.150220913108	0.842067380014
48	1	C_EQ_1	C_EQ_1	0.0645526613817	0.629725962584
48	1	C_EQ_1	C_EQ_2	1.0	0.922723397804
48	1	C_EQ_1	C_EQ_3	0.00699436564989	0.630163739327
48	1	C_EQ_2	C_EQ_1	0.00251516496523	0.630383923755
48	1	C_EQ_2	C_EQ_2	0.00699436564989	0.630163739327
48	1	C_EQ_2	C_EQ_3	0.942857142857	0.877519483337
48	1	C_EQ_3	C_EQ_1	0.150220913108	0.842067380014
48	1	C_EQ_3	C_EQ_2	0.138328530259	0.630163739327
48	1	C_EQ_3	C_EQ_3	0.00808506468052	0.630826919083
48	2	C_EQ_1	C_EQ_1	0.146341463415	0.842067380014
48	2	C_EQ_1	C_EQ_2	0.00807793988054	0.630826919083
48	2	C_EQ_1	C_EQ_3	0.505263157895	0.877519483337
48	2	C_EQ_2	C_EQ_1	0.0797202797203	0.629725962584
48	2	C_EQ_2	C_EQ_2	0.00942470056941	0.631798992958
48	2	C_EQ_2	C_EQ_3	0.25	0.877519483337
48	2	C_EQ_3	C_EQ_1	0.00251516496523	0.630383923755
48	2	C_EQ_3	C_EQ_2	0.942857142857	0.877519483337
48	2	C_EQ_3	C_EQ_3	0.00696594427245	0.630163739327
49	0	C_EQ_1	C_EQ_1	0.0102040816327	0.760077271206
49	1	C_EQ_1	C_EQ_1	0.0102040816327	0.760077271206
50	0	C_EQ_1	C_EQ_1	0.0153846153846	0.922723397804
50	1	C_EQ_1	C_EQ_1	0.0153846153846	0.922723397804
51	0	C_EQ_1	C_EQ_1	0.00818553888131	0.666576320633
51	1	C_EQ_1	C_EQ_1	0.00818553888131	0.666576320633
51	2	C_EQ_1	C_EQ_1	1.0	0.910284643142
52	0	C_EQ_1	C_EQ_1	0.20987654321	0.774627039362
52	1	C_EQ_1	C_EQ_1	0.20987654321	0.765616619373
53	0	C_EQ_1	C_EQ_1	0.75	0.852890274135
53	0	C_EQ_1	C_EQ_2	0.75	0.852890274135
53	1	C_EQ_1	C_EQ_1	0.375	0.852890274135
54	0	C_EQ_1	C_EQ_1	0.00773694390716	0.757142736547
54	1	C_EQ_1	C_EQ_1	0.00773694390716	0.757142736547
55	0	C_EQ_1	C_EQ_1	0.00358378645576	0.637932558482
55	0	C_EQ_1	C_EQ_2	0.00358290091426	0.637932558482
55	1	C_EQ_1	C_EQ_1	0.00352069928372	0.637932558482
55	1	C_EQ_1	C_EQ_2	0.00351984464134	0.637932558482
55	1	C_EQ_2	C_EQ_1	0.00358378645576	0.637932558482
55	1	C_EQ_2	C_EQ_2	0.00358290091426	0.637932558482
55	2	C_EQ_1	C_EQ_1	1.0	0.884085096707
56	0	C_EQ_1	C_EQ_1	1.0	0.884085096707
56	1	C_EQ_1	C_EQ_1	1.0	0.891528575233
57	0	C_EQ_1	C_EQ_1	0.93023255814	0.910284643142
57	1	C_EQ_1	C_EQ_1	0.42328042328	0.861483139473
58	0	C_EQ_1	C_EQ_1	0.285714285714	0.78657895001
58	1	C_EQ_1	C_EQ_1	0.363636363636	0.78657895001
59	0	C_EQ_1	C_EQ_1	0.405612244898	0.861483139473
59	1	C_EQ_1	C_EQ_1	1.0	0.910284643142
60	0	C_EQ_1	C_EQ_1	0.333333333333	0.822844838375
60	0	C_EQ_2	C_EQ_1	0.333333333333	0.822844838375
60	1	C_EQ_1	C_EQ_1	0.461538461538	0.900121440571
61	0	C_EQ_1	C_EQ_1	1.0	0.845446795609
61	1	C_EQ_1	C_EQ_1	1.0	0.838881182239
62	0	C_EQ_1	C_EQ_1	0.272727272727	0.884085096707
62	0	C_EQ_2	C_EQ_1	0.0103092783505	0.535556589537
62	1	C_EQ_1	C_EQ_1	0.365853658537	0.922723397804
62	1	C_EQ_2	C_EQ_1	0.0103092783505	0.535556589537
63	0	C_EQ_1	C_EQ_1	0.563218390805	0.900121440571
63	1	C_EQ_1	C_EQ_1	0.563218390805	0.751055609251
63	1	C_EQ_1	C_EQ_2	0.00281415116012	0.653243866903
63	1	C_EQ_2	C_EQ_1	0.00432785726903	0.653243866903
63	1	C_EQ_2	C_EQ_2	0.563218390805	0.922723397804
64	0	C_EQ_1	C_EQ_1	0.119387271674	0.884085096707
64	0	C_EQ_2	C_EQ_1	0.00317099906044	0.565836394489
64	1	C_EQ_1	C_EQ_1	0.198477290627	0.922723397804
64	1	C_EQ_2	C_EQ_1	0.00317099906044	0.565836394489
65	0	C_EQ_1	C_EQ_1	0.00131420046885	0.581988364375
65	0	C_EQ_1	C_EQ_2	0.00131420046885	0.581988364375
65	0	C_EQ_2	C_EQ_1	0.00131420046885	0.581988364375
65	0	C_EQ_2	C_EQ_2	0.00131420046885	0.581988364375
65	1	C_EQ_1	C_EQ_1	0.00270824183868	0.581988364375
65	2	C_EQ_1	C_EQ_1	0.0064809949203	0.581988364375
65	2	C_EQ_1	C_EQ_2	0.0064809949203	0.581988364375
65	3	C_EQ_1	C_EQ_1	0	0
66	0	C_EQ_1	C_EQ_1	0.229813664596	0.884085096707
66	1	C_EQ_1	C_EQ_1	0.229813664596	0.910284643142
67	0	C_EQ_1	C_EQ_1	0.666666666667	0.884085096707
67	1	C_EQ_1	C_EQ_1	1.0	0.922723397804
68	0	C_EQ_1	C_EQ_1	0.00232705733023	0.723745918023
68	1	C_EQ_1	C_EQ_1	0.00160069848661	0.723745918023
69	0	C_EQ_1	C_EQ_1	0.142857142857	0.922723397804
