Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
1	0	C_EQ_1	C_EQ_2	0.00261437908497	0.385061276389
1	0	C_EQ_2	C_EQ_1	0.0	0.0
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	1.0	0.874253036256
1	1	C_EQ_1	C_EQ_2	0.00135409614083	0.383654442576
1	1	C_EQ_2	C_EQ_1	0.0	0.0
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	1.0	0.86429623498
1	2	C_EQ_1	C_EQ_2	0.00135409614083	0.383654442576
1	2	C_EQ_2	C_EQ_1	0.0	0.0
1	2	C_EQ_2	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_2	0.102941176471	0.836399428305
2	1	C_EQ_1	C_EQ_3	0.116666666667	0.836399428305
2	1	C_EQ_2	C_EQ_1	0.061797752809	0.408738927149
2	1	C_EQ_2	C_EQ_2	0.205882352941	0.912106644207
2	1	C_EQ_2	C_EQ_3	0.144329896907	0.65985346221
3	0	C_EQ_1	C_EQ_1	0.18281535649	0.962146392049
3	1	C_EQ_1	C_EQ_1	0.18281535649	0.962146392049
4	0	C_EQ_1	C_EQ_1	0.461538461538	0.742317055599
4	1	C_EQ_1	C_EQ_1	0.461538461538	0.742317055599
5	0	C_EQ_1	C_EQ_1	0.0661157024793	0.587334306645
5	0	C_EQ_1	C_EQ_2	0.0380952380952	0.581878144261
5	0	C_EQ_2	C_EQ_1	0.235294117647	0.765692807865
5	0	C_EQ_2	C_EQ_2	0.177777777778	0.786359680462
5	1	C_EQ_1	C_EQ_1	0.0661157024793	0.587334306645
5	1	C_EQ_1	C_EQ_2	0.0380952380952	0.581878144261
5	1	C_EQ_2	C_EQ_1	0.340425531915	0.797197326842
5	1	C_EQ_2	C_EQ_2	0.177777777778	0.775500193966
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
5	2	C_EQ_2	C_EQ_1	0.0	0.0
5	2	C_EQ_2	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	0.758928571429	0.807421176144
6	0	C_EQ_1	C_EQ_2	0.00195532653953	0.560080735485
6	0	C_EQ_2	C_EQ_1	0.00197366893445	0.560080735485
6	0	C_EQ_2	C_EQ_2	0.654853620955	0.912106644207
6	1	C_EQ_1	C_EQ_1	0.758928571429	0.924292784099
6	1	C_EQ_1	C_EQ_2	0.00479440464775	0.561645432219
6	1	C_EQ_2	C_EQ_1	0.00574207930825	0.561645432219
6	1	C_EQ_2	C_EQ_2	0.758928571429	0.893731487402
6	2	C_EQ_1	C_EQ_1	0.194621115755	0.805838131609
6	2	C_EQ_1	C_EQ_2	0.916666666667	0.924292784099
6	2	C_EQ_2	C_EQ_1	0.758928571429	0.902149842931
6	2	C_EQ_2	C_EQ_2	0.221684627227	0.880006901762
6	2	C_EQ_3	C_EQ_1	0.00547749464158	0.572610247577
6	2	C_EQ_3	C_EQ_2	0.00490544116698	0.561645432219
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0715746421268	0.859925005664
7	0	C_EQ_2	C_EQ_1	0.6	0.962146392049
7	1	C_EQ_1	C_EQ_1	0.0964187327824	0.859925005664
8	0	C_EQ_1	C_EQ_1	0.0696629213483	0.831194423825
8	0	C_EQ_1	C_EQ_2	0.67032967033	0.86429623498
8	0	C_EQ_1	C_EQ_3	0.0684624017957	0.794596301339
8	0	C_EQ_1	C_EQ_4	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_1	0.0684624017957	0.794596301339
8	0	C_EQ_2	C_EQ_2	0.688888888889	0.912106644207
8	0	C_EQ_2	C_EQ_3	0.0696629213483	0.836399428305
8	0	C_EQ_2	C_EQ_4	0.67032967033	0.86429623498
8	0	C_EQ_3	C_EQ_1	0.688888888889	0.893731487402
8	0	C_EQ_3	C_EQ_2	0.075215782984	0.794596301339
8	0	C_EQ_3	C_EQ_3	0.67032967033	0.859925005664
8	0	C_EQ_3	C_EQ_4	0.0765432098765	0.831194423825
8	0	C_EQ_4	C_EQ_1	0.67032967033	0.859925005664
8	0	C_EQ_4	C_EQ_2	0.0765432098765	0.836399428305
8	0	C_EQ_4	C_EQ_3	0.688888888889	0.902149842931
8	0	C_EQ_4	C_EQ_4	0.075215782984	0.794596301339
8	1	C_EQ_1	C_EQ_1	0.0707762557078	0.831194423825
8	1	C_EQ_1	C_EQ_2	0.0707762557078	0.831194423825
8	1	C_EQ_1	C_EQ_3	0.0695553021665	0.794596301339
8	1	C_EQ_1	C_EQ_4	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_1	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_2	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_3	0.0707762557078	0.836399428305
8	1	C_EQ_2	C_EQ_4	0.0707762557078	0.836399428305
9	0	C_EQ_1	C_EQ_1	0.140762463343	0.540692482017
9	1	C_EQ_1	C_EQ_1	0.096	0.540692482017
10	0	C_EQ_1	C_EQ_1	0.85	0.893731487402
10	1	C_EQ_1	C_EQ_1	0.85	0.912106644207
10	2	C_EQ_1	C_EQ_1	0.85	0.893731487402
11	0	C_EQ_1	C_EQ_1	1.0	0.874253036256
11	1	C_EQ_1	C_EQ_1	1.0	0.940003450881
11	1	C_EQ_1	C_EQ_2	0.214285714286	0.852110095088
11	1	C_EQ_2	C_EQ_1	0.214285714286	0.852110095088
11	1	C_EQ_2	C_EQ_2	1.0	0.912106644207
12	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
12	1	C_EQ_1	C_EQ_1	1.0	0.880006901762
13	0	C_EQ_1	C_EQ_1	0.00431034482759	0.722498346577
13	1	C_EQ_1	C_EQ_1	0.00516795865633	0.722498346577
14	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
14	1	C_EQ_1	C_EQ_1	1.0	0.886439176148
15	0	C_EQ_1	C_EQ_1	0.461538461538	0.874253036256
15	1	C_EQ_1	C_EQ_1	1.0	0.912106644207
16	0	C_EQ_1	C_EQ_1	0.288	0.902149842931
16	1	C_EQ_1	C_EQ_1	0.288	0.902149842931
17	0	C_EQ_1	C_EQ_1	0.441621029573	0.924292784099
17	0	C_EQ_2	C_EQ_1	0.00853625170999	0.623087762994
17	1	C_EQ_1	C_EQ_1	0.00853625170999	0.623087762994
17	1	C_EQ_2	C_EQ_1	0.441621029573	0.912106644207
18	0	C_EQ_1	C_EQ_1	0.522696011004	0.874253036256
18	1	C_EQ_1	C_EQ_1	0.751582278481	0.912106644207
19	0	C_EQ_1	C_EQ_1	0.14096185738	0.560080735485
19	1	C_EQ_1	C_EQ_1	0.0987224157956	0.560080735485
19	2	C_EQ_1	C_EQ_1	0.977011494253	0.807421176144
20	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
20	0	C_EQ_2	C_EQ_1	0.366197183099	0.874253036256
20	0	C_EQ_2	C_EQ_2	1.0	0.924292784099
20	1	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	1	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
20	1	C_EQ_2	C_EQ_1	0.366197183099	0.874253036256
20	1	C_EQ_2	C_EQ_2	1.0	0.924292784099
21	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
21	1	C_EQ_1	C_EQ_1	1.0	0.902149842931
21	1	C_EQ_2	C_EQ_1	0.647435897436	0.880006901762
22	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
22	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
23	0	C_EQ_1	C_EQ_1	0.0377292089435	0.845274784094
23	1	C_EQ_1	C_EQ_1	0.0377292089435	0.845274784094
24	0	C_EQ_1	C_EQ_1	1.0	0.940003450881
24	1	C_EQ_1	C_EQ_1	0.000452488687783	0.380754983897
24	1	C_EQ_2	C_EQ_1	0.285714285714	0.886439176148
24	1	C_EQ_3	C_EQ_1	0.000452488687783	0.380754983897
25	0	C_EQ_1	C_EQ_1	0.147826086957	0.848585568197
25	1	C_EQ_1	C_EQ_1	0.147826086957	0.836399428305
26	0	C_EQ_1	C_EQ_1	0.216393442623	0.833734938283
26	1	C_EQ_1	C_EQ_1	0.216393442623	0.833734938283
26	1	C_EQ_1	C_EQ_2	0.800970873786	0.924292784099
26	1	C_EQ_2	C_EQ_1	0.800970873786	0.86429623498
26	1	C_EQ_2	C_EQ_2	0.216393442623	0.833734938283
27	0	C_EQ_1	C_EQ_1	0.896551724138	0.869048031776
27	1	C_EQ_1	C_EQ_1	0.896551724138	0.869048031776
28	0	C_EQ_1	C_EQ_1	0.0102086107412	0.63453719287
28	1	C_EQ_1	C_EQ_1	0.0102086107412	0.63453719287
28	1	C_EQ_2	C_EQ_1	0.0102816271793	0.63453719287
29	0	C_EQ_1	C_EQ_1	0.19298245614	0.63215088649
29	1	C_EQ_1	C_EQ_1	0.2	0.605606789321
30	0	C_EQ_1	C_EQ_1	0.666666666667	0.886439176148
30	1	C_EQ_1	C_EQ_1	0.571428571429	0.886439176148
