Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
188	2	CP_EQ_1	C_EQ_1	0.428571428571	0.818024271501
188	1	CP_EQ_1	C_EQ_1	0.428571428571	0.818024271501
188	0	CP_EQ_1	C_EQ_1	1.0	0.855877879451
186	2	CP_EQ_1	C_EQ_1	0.0666666666667	0.435823612194
186	2	CP_EQ_2	C_EQ_1	0.0	0.0
186	1	CP_EQ_1	C_EQ_1	0.111111111111	0.760692212404
186	1	CP_EQ_2	C_EQ_1	0.0	0.0
186	1	CP_EQ_3	C_EQ_1	0.153846153846	0.790913251224
186	1	CP_EQ_4	C_EQ_1	0.0	0.0
186	3	CP_EQ_1	C_EQ_1	0.111111111111	0.760692212404
186	3	CP_EQ_1	C_EQ_2	0.0739299610895	0.435823612194
186	3	CP_EQ_1	C_EQ_3	0.448979591837	0.672935555587
186	3	CP_EQ_1	C_EQ_4	0.458333333333	0.672935555587
186	3	CP_EQ_2	C_EQ_1	0.0	0.0
186	3	CP_EQ_2	C_EQ_2	0.0	0.0
186	3	CP_EQ_2	C_EQ_3	0.0	0.0
186	3	CP_EQ_2	C_EQ_4	0.0	0.0
186	3	CP_EQ_3	C_EQ_1	0.375	0.799928456546
186	3	CP_EQ_3	C_EQ_2	0.441860465116	0.822071397714
186	3	CP_EQ_3	C_EQ_3	0.0743243243243	0.435823612194
186	3	CP_EQ_3	C_EQ_4	0.0753424657534	0.435823612194
186	3	CP_EQ_4	C_EQ_1	0.0	0.0
186	3	CP_EQ_4	C_EQ_2	0.0	0.0
186	3	CP_EQ_4	C_EQ_3	0.0	0.0
186	3	CP_EQ_4	C_EQ_4	0.0	0.0
186	3	CP_EQ_5	C_EQ_1	0.0428015564202	0.383121240246
186	3	CP_EQ_5	C_EQ_2	0.0461538461538	0.39964744853
186	3	CP_EQ_5	C_EQ_3	0.432432432432	0.696114793741
186	3	CP_EQ_5	C_EQ_4	0.444444444444	0.696114793741
