Character Number	State Number	SimJ Partial Recall
66	1	0.176470588235
66	0	0.176470588235
133	1	0.722222222222
133	0	0.417592592593
132	1	0.364197530864
132	0	0.719512195122
131	1	0.162216237945
131	0	0.164948453608
130	1	0.55
130	0	0.0264900662252
137	1	1.0
137	0	1.0
137	2	0.00990099009901
136	1	1.0
136	0	1.0
135	1	0.307262569832
135	0	0.307262569832
134	1	0.955223880597
134	0	0.955223880597
134	2	0.955223880597
139	1	0.403344481605
139	0	0.403344481605
138	1	1.0
138	0	1.0
93	1	0.6
93	0	1.0
24	1	0.267341377968
24	0	0.267341377968
25	1	0.333333333333
25	0	0.333333333333
26	1	1.0
26	0	0.25
27	1	0.142105263158
27	0	0.09963099631
20	1	0.00595069424766
20	0	0.00595069424766
21	1	0.382701883524
21	0	0.139597315436
22	1	0.428571428571
22	0	1.0
23	1	0.000302557776899
23	0	0.000302557776899
95	1	0.935897435897
95	0	0.935897435897
28	1	0.0882352941176
28	0	0.0513724502644
29	1	0.0833333333333
29	0	0.08
94	1	0.977272727273
94	0	0.977272727273
94	2	1.0
4	1	0.461538461538
4	0	0.461538461538
8	1	0.376120358515
8	0	0.681818181818
96	1	1.0
96	0	1.0
68	1	0.21568627451
68	0	0.21568627451
120	1	0.175475687104
120	0	0.175475687104
121	1	0.0507936507937
121	0	0.0450070323488
122	1	0.00791018116867
122	0	0.00791018116867
123	1	1.0
123	0	1.0
124	1	0.112781954887
124	0	0.0771869639794
125	1	0.347920099339
125	0	0.00942635121039
125	2	0.519471534635
126	1	1.0
126	0	1.0
127	1	0.663265306122
127	0	0.143390463261
127	2	0.362116991643
128	1	1.0
128	0	1.0
129	1	0.666666666667
129	0	0.293269230769
69	1	0.0641592920354
69	0	0.0641592920354
91	1	1.0
91	0	0.158940397351
59	1	1.0
59	0	0.405612244898
58	1	0.102974828375
58	0	0.0304259634888
55	1	0.666666666667
55	0	0.666666666667
55	2	1.0
54	1	0.0048971596474
54	0	0.0048971596474
57	1	0.603773584906
57	0	0.36866359447
56	1	1.0
56	0	1.0
51	1	0.0140845070423
51	0	0.0140845070423
51	2	1.0
50	1	0.0
50	0	0.0
53	1	0.375
53	0	1.0
52	1	0.878048780488
52	0	0.0243079000675
90	1	0.000958887690279
90	0	0.000958887690279
146	1	0.00367189813444
146	0	0.00367189813444
199	1	0.40243902439
199	0	0.40243902439
198	1	0.0806451612903
198	0	0.0539083557951
147	1	0.892857142857
147	0	0.892857142857
195	1	0.444444444444
195	0	1.0
194	1	1.0
194	0	1.0
197	1	0.810344827586
197	0	0.810344827586
67	1	1.0
67	0	0.666666666667
191	1	0.238095238095
191	0	0.238095238095
190	1	0.65811965812
190	0	0.777777777778
190	2	0.777777777778
193	1	0.459183673469
193	0	0.459183673469
192	1	0.00424411521987
192	0	0.00424411521987
115	1	0.833333333334
115	0	0.726190476191
115	3	0.666666666667
115	2	0.777777777778
114	1	1.0
114	0	0.666666666667
88	1	1.0
88	0	1.0
89	1	0.935185185185
89	0	0.935185185185
111	1	0.210516066212
111	0	0.210516066212
110	1	0.928571428571
110	0	0.928571428571
110	2	0.928571428571
113	1	0.169426002185
113	0	0.169426002185
112	1	0.361904761905
112	0	0.322807017543
82	1	0.75
82	0	0.574074074074
82	2	0.625
83	1	0.904684095861
83	0	0.904684095861
80	1	1.0
80	0	1.0
81	1	0.955056179775
81	0	0.955056179775
119	1	0.0033992194385
119	0	0.0033992194385
118	1	1.0
118	0	1.0
84	1	1.0
84	0	1.0
85	1	0.760227014756
85	0	0.92
85	2	0.92
3	1	0.00498640072529
3	0	0.00498640072529
7	1	0.0808383233533
7	0	0.0590809628009
92	1	0.603021978022
92	0	0.78125
108	1	0.325793965818
108	0	0.345425867508
109	1	1.0
109	0	1.0
102	1	1.0
102	0	0.666666666666
102	2	1.0
103	1	0.000676465162044
103	0	0.000810313075506
100	1	0.358974358974
100	0	0.358974358974
101	1	0.0612612612613
101	0	0.294736842105
106	1	0.402234636872
106	0	0.187989556136
107	1	0.259259259259
107	0	0.388888888889
104	1	0.392857142858
104	0	1.0
105	1	0.820143884892
105	0	0.343115124153
39	1	0.349514563107
39	0	0.104046242775
39	3	0.43007643049
39	2	0.510638297872
38	1	0.379468581156
38	0	0.475758632717
38	2	0.379468581156
33	1	0.100371747212
33	0	1.0
33	3	0.777777777778
33	2	0.571428571429
33	4	1.0
32	1	0.517647058824
32	0	0.517647058824
31	1	0.102678571429
31	0	0.102678571429
30	1	0.669811320755
30	0	0.408633093525
37	1	0.5
37	0	0.5
36	1	0.115744773519
36	0	0.0816326530612
35	1	0.965517241379
35	0	0.965517241379
34	1	0.51724137931
34	0	0.51724137931
34	3	0.473492417745
34	2	0.51724137931
60	1	1.0
60	0	1.0
61	1	1.0
61	0	1.0
62	1	0.00080134626172
62	0	0.00080134626172
63	1	0.611111111111
63	0	1.0
64	1	0.0742832319722
64	0	0.00274683351137
65	1	0.732824427481
65	0	0.25
65	3	0.0
65	2	0.598752598753
179	1	0.417721518987
179	0	0.417721518987
178	1	0.374606685554
178	0	0.764705882353
177	1	0.255555555556
177	0	0.255555555556
176	1	0.372093023256
176	0	0.372093023256
175	1	0.180865006553
175	0	0.124100719424
174	1	1.0
174	0	1.0
173	1	1.0
173	0	1.0
172	1	0.242038216561
172	0	0.0970625798212
171	1	0.52
171	0	0.52
170	1	0.123786407767
170	0	0.123786407767
170	2	0.123786407767
145	1	1.0
145	0	1.0
145	3	1.0
145	2	0.5
182	1	0.930555555556
182	0	0.930555555556
182	2	0.00910697295093
183	1	0.354166666667
183	0	0.186301369863
180	1	0.567164179104
180	0	0.567164179104
180	2	0.567164179104
181	1	0.464859754176
181	0	0.697643457313
181	2	0.671243624951
186	1	0.109589041096
186	0	0.411270881193
186	3	0.38269452052
186	2	0.0652173913043
187	1	0.5
187	0	0.5
184	1	0.961538461538
184	0	0.961538461538
184	3	0.690607734807
184	2	0.961538461538
6	1	0.345151199166
6	0	1.0
6	3	0.0
6	2	0.486897792601
6	4	0.0
188	1	0.714285714286
188	0	1.0
188	2	0.714285714286
189	1	0.25
189	0	0.25
196	1	0.945652173913
196	0	0.418481206363
196	2	1.0
97	1	0.010414020828
97	0	0.010414020828
185	1	1.0
185	0	1.0
99	1	1.0
99	0	1.0
98	1	0.0259510468888
98	0	0.766666666667
98	2	0.709677419355
168	1	0.657894736842
168	0	0.657894736842
169	1	0.0370792926412
169	0	0.0983358547655
164	1	0.00268065604012
164	0	0.00268065604012
165	1	0.581656804734
165	0	0.568421052632
166	1	0.454545454545
166	0	0.833333333333
166	2	0.833333333333
167	1	0.0101214574899
167	0	0.0101214574899
160	1	1.0
160	0	1.0
161	1	1.0
161	0	1.0
162	1	1.0
162	0	1.0
163	1	0.28813559322
163	0	0.28813559322
11	1	0.7
11	0	1.0
10	1	0.666666666667
10	0	1.0
10	2	1.0
13	1	0.00268055449184
13	0	0.00223685051448
12	1	0.0769230769231
12	0	0.0769230769231
15	1	0.75
15	0	0.333333333333
14	1	1.0
14	0	1.0
17	1	1.0
17	0	1.0
16	1	0.00193124758594
16	0	0.00193124758594
19	1	0.444444444444
19	0	1.0
19	2	1.0
18	1	1.0
18	0	1.0
117	1	0.779069767442
117	0	0.779069767442
116	1	0.916666666666
116	0	1.0
151	1	0.888888888889
151	0	0.888888888889
150	1	0.135802469136
150	0	0.135802469136
150	3	0.135802469136
150	2	0.135802469136
153	1	0.325581395349
153	0	0.325581395349
152	1	0.0
152	0	0.0
155	1	1.0
155	0	0.5
154	1	1.0
154	0	1.0
157	1	1.0
157	0	1.0
156	1	0.157303370787
156	0	0.157303370787
159	1	0.00750853242321
159	0	0.00984780662489
158	1	0.2
158	0	0.2
48	1	0.52772814207
48	0	0.104081632653
48	2	0.427810077519
49	1	0.00505501040737
49	0	0.00505501040737
46	1	0.658536585366
46	0	0.658536585366
86	1	0.142016806722
86	0	0.142016806722
44	1	0.00219686009752
44	0	0.00263005965745
45	1	0.0894308943089
45	0	0.122222222222
42	1	0.333333333333
42	0	0.521276595745
42	2	0.521276595745
43	1	0.00372987579767
43	0	0.00770299280212
43	2	0.00369379216765
40	1	0.00452178125883
40	0	0.765575974899
40	2	0.765575974899
87	1	0.243902439024
87	0	0.243902439024
1	1	0.102986385595
1	0	0.515772870662
1	2	0.512077294686
5	1	0.0
5	0	0.0
5	2	0.0
9	1	0.0656934306569
9	0	0.0918367346939
201	1	1.0
201	0	1.0
201	2	1.0
200	1	0.462365591398
200	0	0.462365591398
203	1	1.0
203	0	0.666666666667
202	1	1.0
202	0	1.0
142	1	1.0
142	0	0.75
142	2	0.75
143	1	1.0
143	0	1.0
140	1	0.00737825873094
140	0	0.00880798590722
141	1	0.666666666667
141	0	0.030303030303
148	1	0.707317073171
148	0	0.570491803279
148	2	0.321626617375
149	1	1.0
149	0	1.0
77	1	1.0
77	0	0.00751879699248
76	1	0.222222222222
76	0	0.222222222222
75	1	0.969230769231
75	0	0.969230769231
74	1	1.0
74	0	1.0
73	1	0.0478011472275
73	0	0.0625
72	1	0.098643649815
72	0	0.123266563945
71	1	0.00306720085222
71	0	1.0
71	2	0.651851851852
70	1	0.394616588223
70	0	1.0
70	3	0.195960024217
70	2	0.125444396666
79	1	0.586200384563
79	0	0.586200384563
78	1	1.0
78	0	1.0
2	1	0.733867069487
2	0	0.44
144	1	0.121681415929
144	0	0.121681415929
41	1	0.0391668741183
41	0	0.0440293801672
47	1	0.666666666667
47	0	0.666666666667
