Character Number	State Number	SimJ Partial Recall
66	1	0.000735618655289
66	0	0.000735618655289
133	1	0.811728395062
133	0	0.927777777778
132	1	0.258017492711
132	0	0.511560693642
131	1	0.0944590902419
131	0	0.0854364949439
130	1	0.0759258691048
130	0	0.0061295971979
137	1	1.0
137	0	1.0
137	2	0.0114722753346
136	1	1.0
136	0	1.0
135	1	0.55
135	0	0.55
134	1	0.717391304348
134	0	0.717391304348
134	2	0.717391304348
139	1	0.818181818182
139	0	0.818181818182
138	1	1.0
138	0	1.0
93	1	0.395744680851
93	0	0.607843137255
24	1	0.267341377968
24	0	0.729784294974
25	1	1.0
25	0	1.0
26	1	0.501321194046
26	0	0.193406593407
27	1	0.116104868914
27	0	0.116104868914
20	1	0.671428571428
20	0	0.671428571428
21	1	0.138339920949
21	0	0.138339920949
22	1	0.555555555556
22	0	1.0
23	1	0.1380798274
23	0	0.1380798274
95	1	1.0
95	0	1.0
28	1	0.0102816271793
28	0	0.0102086107412
29	1	0.254901960784
29	0	0.245283018868
94	1	1.0
94	0	1.0
94	2	1.0
4	1	0.0127388535032
4	0	0.0127388535032
8	1	0.694117647059
8	0	0.672369765067
96	1	1.0
96	0	1.0
68	1	0.694736842105
68	0	0.694736842105
120	1	0.119769119769
120	0	0.175475687104
121	1	0.0567375886525
121	0	0.0437158469945
122	1	0.050441576087
122	0	0.050441576087
123	1	0.179487179487
123	0	0.107692307692
124	1	0.67619047619
124	0	0.243428571429
125	1	0.135587629554
125	0	0.253662418768
125	2	0.00576055850679
126	1	1.0
126	0	1.0
127	1	0.505303958306
127	0	0.292451187479
127	2	0.418679549114
128	1	1.0
128	0	1.0
129	1	0.763736263736
129	0	0.518534798535
69	1	0.214285714286
69	0	0.666666666667
91	1	1.0
91	0	0.158940397351
59	1	0.405612244898
59	0	1.0
58	1	0.194480102696
58	0	0.0731707317073
55	1	0.25
55	0	0.25
55	2	1.0
54	1	0.0106692531523
54	0	0.0106692531523
57	1	0.254473161034
57	0	0.37558685446
56	1	1.0
56	0	1.0
51	1	1.0
51	0	0.0161290322581
51	2	1.0
50	1	0.0
50	0	0.0
53	1	1.0
53	0	1.0
52	1	0.20987654321
52	0	0.0111768573307
90	1	0.167357410697
90	0	0.167357410697
146	1	0.492845786963
146	0	0.422487223169
199	1	1.0
199	0	0.181818181818
198	1	0.628571428571
198	0	0.238267148014
147	1	0.928571428571
147	0	0.928571428571
195	1	1.0
195	0	0.722222222222
194	1	0.951612903226
194	0	0.951612903226
197	1	0.321167883212
197	0	0.321167883212
67	1	0.864242424242
67	0	0.589499793303
191	1	0.0854271356784
191	0	0.11724137931
