Character Number	State Number	SimJ Partial Recall
66	1	0.169934640523
66	0	0.169934640523
133	1	1.0
133	0	0.4
132	1	0.165680473373
132	0	0.277227722772
131	1	0.0229285447861
131	0	0.0417754569191
130	1	0.5
130	0	0.0264900662252
137	1	1.0
137	0	1.0
137	2	0.00990099009901
136	1	0.486842105263
136	0	0.486842105263
135	1	0.582524271845
135	0	0.582524271845
134	1	0.955223880597
134	0	0.955223880597
134	2	0.955223880597
139	1	0.109311740891
139	0	0.109311740891
138	1	0.739726027397
138	0	0.739726027397
93	1	0.6
93	0	1.0
24	1	0.285714285714
24	0	0.285714285714
25	1	0.978021978022
25	0	0.978021978022
26	1	1.0
26	0	0.25
27	1	0.118577075099
27	0	0.118577075099
20	1	1.0
20	0	1.0
21	1	0.396760668543
21	0	0.141347424042
22	1	0.555555555556
22	0	1.0
23	1	0.000302529612995
23	0	0.000302529612995
95	1	0.147058823529
95	0	0.147058823529
28	1	0.0203629924745
28	0	0.0415725259828
29	1	0.19298245614
29	0	0.206896551724
94	1	0.977272727273
94	0	0.977272727273
94	2	1.0
4	1	0.461538461538
4	0	0.461538461538
8	1	0.0704225352113
8	0	0.681818181818
96	1	1.0
96	0	1.0
68	1	0.369369369369
68	0	0.369369369369
120	1	0.6875
120	0	0.6875
121	1	0.0952380952381
121	0	0.0869565217391
122	1	0.00798351789853
122	0	0.00798351789853
123	1	1.0
123	0	1.0
124	1	0.112781954887
124	0	0.0771869639794
125	1	0.166773317072
125	0	0.00781132642331
125	2	0.21641107805
126	1	1.0
126	0	1.0
127	1	0.612903225806
127	0	0.13215623328
127	2	0.339285714286
128	1	1.0
128	0	1.0
129	1	0.114555599674
129	0	0.101657431229
69	1	0.11819235226
69	0	0.11819235226
91	1	1.0
91	0	0.158940397351
59	1	1.0
59	0	0.405612244898
58	1	0.375
58	0	0.0821917808219
55	1	0.00358334368501
55	0	0.00358334368501
55	2	1.0
54	1	0.00773694390716
54	0	0.00773694390716
57	1	0.300469483568
57	0	0.36866359447
56	1	1.0
56	0	1.0
51	1	0.461538461538
51	0	0.461538461538
51	2	1.0
50	1	0.0
50	0	0.0
53	1	0.375
53	0	0.75
52	1	0.20987654321
52	0	0.0111768573307
90	1	0.000958887690279
90	0	0.000958887690279
146	1	0.0188679245283
146	0	0.0188679245283
199	1	0.395061728395
199	0	0.338624338624
198	1	0.0579710144928
198	0	0.089219330855
147	1	0.892857142857
147	0	0.892857142857
195	1	1.0
195	0	1.0
194	1	1.0
194	0	1.0
197	1	0.285714285714
197	0	0.285714285714
67	1	1.0
67	0	0.666666666667
191	1	0.0
191	0	0.0
190	1	0.329384756657
190	0	0.377777777778
190	2	0.377777777778
193	1	0.969696969697
193	0	0.969696969697
192	1	0.025633535383
192	0	0.0270187052575
115	1	0.542528735632
115	0	0.237229102167
115	3	0.0
115	2	0.543343653251
114	1	0.181818181818
114	0	0.204690831557
88	1	1.0
88	0	1.0
89	1	0.935185185185
89	0	0.935185185185
111	1	0.148062342039
111	0	0.148062342039
110	1	0.928571428571
110	0	0.928571428571
110	2	0.928571428571
