Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	1.0	0.892481148827
1	0	C_EQ_1	C_EQ_2	0.0	0.0
1	0	C_EQ_2	C_EQ_1	0.0315457413249	0.386017748501
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	0.181818181818	0.831778689764
1	1	C_EQ_1	C_EQ_2	0.0	0.0
1	1	C_EQ_2	C_EQ_1	0.024154589372	0.385120038774
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	1.0	0.862699565862
1	2	C_EQ_1	C_EQ_2	0.0	0.0
1	2	C_EQ_2	C_EQ_1	0.024154589372	0.385120038774
1	2	C_EQ_2	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.44	0.81025929725
2	1	C_EQ_1	C_EQ_1	0.44	0.81025929725
2	1	C_EQ_1	C_EQ_2	0.103274559194	0.834474529756
2	1	C_EQ_1	C_EQ_3	0.117142857143	0.834474529756
2	1	C_EQ_2	C_EQ_1	0.0835443037975	0.593396928141
2	1	C_EQ_2	C_EQ_2	0.433862433862	0.892481148827
2	1	C_EQ_2	C_EQ_3	0.495468277946	0.892481148827
2	1	C_EQ_3	C_EQ_1	0.061320754717	0.593396928141
2	1	C_EQ_3	C_EQ_2	1.0	0.961701012462
2	1	C_EQ_3	C_EQ_3	0.571428571429	0.923402024925
2	1	C_EQ_4	C_EQ_1	0.0689655172414	0.593396928141
2	1	C_EQ_4	C_EQ_2	0.571428571429	0.923402024925
2	1	C_EQ_4	C_EQ_3	1.0	0.961701012462
3	0	C_EQ_1	C_EQ_1	0.00498640072529	0.703509652366
3	1	C_EQ_1	C_EQ_1	0.00498640072529	0.703509652366
4	0	C_EQ_1	C_EQ_1	0.461538461538	0.739285198677
4	1	C_EQ_1	C_EQ_1	0.461538461538	0.739285198677
5	0	C_EQ_1	C_EQ_1	0.0	0.0
5	0	C_EQ_1	C_EQ_2	0.0	0.0
5	0	C_EQ_2	C_EQ_1	0.0	0.0
5	0	C_EQ_2	C_EQ_2	0.0	0.0
5	1	C_EQ_1	C_EQ_1	0.0	0.0
5	1	C_EQ_1	C_EQ_2	0.0	0.0
5	1	C_EQ_2	C_EQ_1	0.0	0.0
5	1	C_EQ_2	C_EQ_2	0.0	0.0
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
5	2	C_EQ_2	C_EQ_1	0.0	0.0
5	2	C_EQ_2	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	1.0	0.923402024925
6	0	C_EQ_1	C_EQ_2	0.00251256281407	0.603738999477
6	0	C_EQ_2	C_EQ_1	0.00251256281407	0.603738999477
6	0	C_EQ_2	C_EQ_2	1.0	0.923402024925
6	1	C_EQ_1	C_EQ_1	0.714285714286	0.911072504831
6	1	C_EQ_1	C_EQ_2	0.00613496932515	0.603909011178
6	1	C_EQ_2	C_EQ_1	0.00911854103343	0.614892863316
6	1	C_EQ_2	C_EQ_2	0.160583941606	0.858276905352
6	1	C_EQ_3	C_EQ_1	0.00911854103343	0.614892863316
6	1	C_EQ_3	C_EQ_2	0.160583941606	0.858276905352
6	2	C_EQ_1	C_EQ_1	0.509240246407	0.872773517293
6	2	C_EQ_1	C_EQ_2	0.226775956284	0.854182161289
6	2	C_EQ_2	C_EQ_1	0.942857142857	0.923402024925
6	2	C_EQ_2	C_EQ_2	0.184155966973	0.829208284013
6	2	C_EQ_3	C_EQ_1	0.00859598853868	0.614892863316
6	2	C_EQ_3	C_EQ_2	0.00550069587116	0.582507837973
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0590809628009	0.850370045768
7	1	C_EQ_1	C_EQ_1	0.0808383233533	0.850370045768
8	0	C_EQ_1	C_EQ_1	0.0691244239631	0.829208284013
8	0	C_EQ_1	C_EQ_2	0.662921348315	0.862699565862
8	0	C_EQ_1	C_EQ_3	0.0678941311853	0.792179553784
