Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0315457413249	0.386017748501
1	0	C_EQ_1	C_EQ_2	0.0	0.0
1	0	C_EQ_2	C_EQ_1	1.0	0.892481148827
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	0.0187265917603	0.385120038774
1	1	C_EQ_1	C_EQ_2	0.0	0.0
1	1	C_EQ_2	C_EQ_1	0.024154589372	0.385120038774
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_3	C_EQ_1	1.0	0.872773517293
1	1	C_EQ_3	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	0.0187265917603	0.385120038774
1	2	C_EQ_1	C_EQ_2	0.0	0.0
1	2	C_EQ_2	C_EQ_1	0.024154589372	0.385120038774
1	2	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_3	C_EQ_1	1.0	0.862699565862
1	2	C_EQ_3	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.357400722022	0.81025929725
2	1	C_EQ_1	C_EQ_1	0.0835443037975	0.593396928141
2	1	C_EQ_1	C_EQ_2	0.433862433862	0.892481148827
2	1	C_EQ_1	C_EQ_3	0.495468277946	0.892481148827
3	0	C_EQ_1	C_EQ_1	0.00496838301716	0.703509652366
3	1	C_EQ_1	C_EQ_1	0.00496838301716	0.703509652366
4	0	C_EQ_1	C_EQ_1	0.0127388535032	0.739285198677
4	1	C_EQ_1	C_EQ_1	0.0127388535032	0.739285198677
5	0	C_EQ_1	C_EQ_1	0.0589353612167	0.630788379329
5	0	C_EQ_1	C_EQ_2	0.033264033264	0.619832913402
5	0	C_EQ_2	C_EQ_1	0.25340599455	0.775645258873
5	0	C_EQ_2	C_EQ_2	0.190476190476	0.799009689565
5	1	C_EQ_1	C_EQ_1	0.0589353612167	0.630788379329
5	1	C_EQ_1	C_EQ_2	0.033264033264	0.619832913402
5	1	C_EQ_2	C_EQ_1	0.369047619048	0.81394424641
5	1	C_EQ_2	C_EQ_2	0.190476190476	0.800483210472
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	0.754545454545	0.822145009662
6	0	C_EQ_1	C_EQ_2	0.00196985878723	0.581307243457
6	1	C_EQ_1	C_EQ_1	0.754545454545	0.923402024925
6	1	C_EQ_1	C_EQ_2	0.00482923139582	0.582507837973
6	1	C_EQ_2	C_EQ_1	0.11416781293	0.774700727165
6	1	C_EQ_2	C_EQ_2	0.00245845798406	0.581307243457
6	2	C_EQ_1	C_EQ_1	0.754545454545	0.9009985534
6	2	C_EQ_1	C_EQ_2	0.222222222222	0.878595081875
6	2	C_EQ_2	C_EQ_1	0.00558047926469	0.601249670423
6	2	C_EQ_2	C_EQ_2	0.00499257859938	0.582507837973
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0684326710817	0.850370045768
7	1	C_EQ_1	C_EQ_1	0.0939393939394	0.850370045768
8	0	C_EQ_1	C_EQ_1	0.0691244239631	0.829208284013
8	0	C_EQ_1	C_EQ_2	0.662921348315	0.862699565862
8	0	C_EQ_1	C_EQ_3	0.0678941311853	0.792179553784
8	0	C_EQ_1	C_EQ_4	0.681818181818	0.892481148827
8	0	C_EQ_2	C_EQ_1	0.0691244239631	0.829208284013
8	0	C_EQ_2	C_EQ_2	0.426506024096	0.831778689764
8	0	C_EQ_2	C_EQ_3	0.0678941311853	0.792179553784
8	0	C_EQ_2	C_EQ_4	0.436893203883	0.867507271551
8	0	C_EQ_3	C_EQ_1	0.681818181818	0.892481148827
8	0	C_EQ_3	C_EQ_2	0.0747782002535	0.792179553784
8	0	C_EQ_3	C_EQ_3	0.662921348315	0.858276905352
8	0	C_EQ_3	C_EQ_4	0.0761421319797	0.829208284013
8	1	C_EQ_1	C_EQ_1	0.694117647059	0.878595081875
8	1	C_EQ_1	C_EQ_2	0.694117647059	0.878595081875
8	1	C_EQ_1	C_EQ_3	0.694117647059	0.878595081875
8	1	C_EQ_1	C_EQ_4	0.694117647059	0.878595081875
9	0	C_EQ_1	C_EQ_1	0.11	0.735473083156
9	1	C_EQ_1	C_EQ_1	0.0791366906475	0.735473083156
10	0	C_EQ_1	C_EQ_1	0.8	0.892481148827
10	1	C_EQ_1	C_EQ_1	0.8	0.911072504831
10	2	C_EQ_1	C_EQ_1	0.8	0.892481148827
11	0	C_EQ_1	C_EQ_1	0.406862745098	0.726171924174
11	1	C_EQ_1	C_EQ_1	0.932584269663	0.923402024925
11	1	C_EQ_1	C_EQ_2	0.206467661692	0.65434629238
12	0	C_EQ_1	C_EQ_1	0.853658536585	0.885103037387
12	1	C_EQ_1	C_EQ_1	0.853658536585	0.885103037387
13	0	C_EQ_1	C_EQ_1	0.00223685051448	0.720976471214
13	1	C_EQ_1	C_EQ_1	0.00268055449184	0.720976471214
14	0	C_EQ_1	C_EQ_1	0.666666666667	0.84680404985
14	0	C_EQ_2	C_EQ_1	0.00215982721382	0.59737268403
14	1	C_EQ_1	C_EQ_1	1.0	0.885103037387
15	0	C_EQ_1	C_EQ_1	0.5	0.854182161289
15	1	C_EQ_1	C_EQ_1	0.75	0.892481148827
16	0	C_EQ_1	C_EQ_1	0.109787477366	0.872773517293
16	1	C_EQ_1	C_EQ_1	0.109787477366	0.872773517293
17	0	C_EQ_1	C_EQ_1	0.839357429719	0.911072504831
17	1	C_EQ_1	C_EQ_1	0.839357429719	0.9009985534
18	0	C_EQ_1	C_EQ_1	0.833641975309	0.911072504831
18	1	C_EQ_1	C_EQ_1	0.833641975309	0.892481148827
19	0	C_EQ_1	C_EQ_1	0.122599704579	0.581307243457
19	1	C_EQ_1	C_EQ_1	0.96511627907	0.939297540937
19	2	C_EQ_1	C_EQ_1	0.96511627907	0.822145009662
20	0	C_EQ_1	C_EQ_1	1.0	0.9009985534
20	0	C_EQ_1	C_EQ_2	0.342857142857	0.872773517293
20	1	C_EQ_1	C_EQ_1	1.0	0.9009985534
20	1	C_EQ_1	C_EQ_2	0.342857142857	0.872773517293
21	0	C_EQ_1	C_EQ_1	0.138339920949	0.843454311583
21	1	C_EQ_1	C_EQ_1	0.138339920949	0.843454311583
22	0	C_EQ_1	C_EQ_1	1.0	0.892481148827
22	1	C_EQ_1	C_EQ_1	0.555555555556	0.854182161289
23	0	C_EQ_1	C_EQ_1	0.1380798274	0.872773517293
23	1	C_EQ_1	C_EQ_1	0.1380798274	0.872773517293
24	0	C_EQ_1	C_EQ_1	0.729784294974	0.923402024925
24	1	C_EQ_1	C_EQ_1	0.267341377968	0.854182161289
25	0	C_EQ_1	C_EQ_1	1.0	0.923402024925
25	1	C_EQ_1	C_EQ_1	1.0	0.923402024925
26	0	C_EQ_1	C_EQ_1	0.193406593407	0.840296094337
26	1	C_EQ_1	C_EQ_1	0.78853046595	0.892481148827
26	1	C_EQ_1	C_EQ_2	0.214111922141	0.840296094337
27	0	C_EQ_1	C_EQ_1	0.116104868914	0.635482898718
27	1	C_EQ_1	C_EQ_1	0.116104868914	0.635482898718
28	0	C_EQ_1	C_EQ_1	0.0102086107412	0.633702757876
28	1	C_EQ_1	C_EQ_1	0.0102086107412	0.633702757876
28	1	C_EQ_2	C_EQ_1	0.0102816271793	0.633702757876
29	0	C_EQ_1	C_EQ_1	0.245283018868	0.858276905352
29	1	C_EQ_1	C_EQ_1	0.254901960784	0.858276905352
30	0	C_EQ_1	C_EQ_1	0.269430051813	0.872773517293
30	1	C_EQ_1	C_EQ_1	0.240184757506	0.872773517293
31	0	C_EQ_1	C_EQ_1	0.0855614973262	0.533533722975
31	1	C_EQ_1	C_EQ_1	0.0855614973262	0.533533722975
32	0	C_EQ_1	C_EQ_1	0.517647058824	0.831778689764
32	1	C_EQ_1	C_EQ_1	0.517647058824	0.831778689764
33	0	C_EQ_1	C_EQ_1	1.0	0.885103037387
33	0	C_EQ_1	C_EQ_2	0.112033195021	0.561667519051
33	0	C_EQ_1	C_EQ_3	0.112033195021	0.561667519051
33	0	C_EQ_2	C_EQ_1	0.112033195021	0.561667519051
33	0	C_EQ_2	C_EQ_2	0.969230769231	0.8019971068
33	0	C_EQ_2	C_EQ_3	0.969230769231	0.8019971068
33	0	C_EQ_3	C_EQ_1	0.112033195021	0.561667519051
33	0	C_EQ_3	C_EQ_2	0.969230769231	0.8019971068
33	0	C_EQ_3	C_EQ_3	0.969230769231	0.8019971068
33	1	C_EQ_1	C_EQ_1	0.969230769231	0.8019971068
33	2	C_EQ_1	C_EQ_1	0.571428571429	0.831778689764
33	2	C_EQ_1	C_EQ_2	0.100371747212	0.561667519051
33	2	C_EQ_1	C_EQ_3	0.100371747212	0.561667519051
33	2	C_EQ_2	C_EQ_1	0.112033195021	0.561667519051
33	2	C_EQ_2	C_EQ_2	0.969230769231	0.8019971068
33	2	C_EQ_2	C_EQ_3	0.969230769231	0.8019971068
33	2	C_EQ_3	C_EQ_1	0.112033195021	0.561667519051
33	2	C_EQ_3	C_EQ_2	0.969230769231	0.8019971068
33	2	C_EQ_3	C_EQ_3	0.969230769231	0.8019971068
33	3	C_EQ_1	C_EQ_1	0.3	0.815883173752
33	3	C_EQ_1	C_EQ_2	1.0	0.892481148827
33	4	C_EQ_1	C_EQ_1	1.0	0.892481148827
34	0	C_EQ_1	C_EQ_1	0.00193638335227	0.566511269988
34	1	C_EQ_1	C_EQ_1	0.00193638335227	0.566511269988
34	1	C_EQ_1	C_EQ_2	0.00244642332909	0.566511269988
34	1	C_EQ_2	C_EQ_1	0.00193618339529	0.566511269988
34	1	C_EQ_2	C_EQ_2	0.00244610417142	0.566511269988
34	2	C_EQ_1	C_EQ_1	0.00244610417142	0.566511269988
34	3	C_EQ_1	C_EQ_1	0.00193638335227	0.566511269988
34	3	C_EQ_1	C_EQ_2	0.00256568144499	0.566511269988
34	3	C_EQ_2	C_EQ_1	0.00193618339529	0.566511269988
34	3	C_EQ_2	C_EQ_2	0.00256533041456	0.566511269988
35	0	C_EQ_1	C_EQ_1	0.965517241379	0.885103037387
35	1	C_EQ_1	C_EQ_1	0.965517241379	0.885103037387
36	0	C_EQ_1	C_EQ_1	0.106194690265	0.688459707737
36	1	C_EQ_1	C_EQ_1	0.192307692308	0.911072504831
36	1	C_EQ_1	C_EQ_2	0.0845070422535	0.688459707737
36	1	C_EQ_2	C_EQ_1	0.0911854103343	0.688459707737
36	1	C_EQ_2	C_EQ_2	0.192307692308	0.9009985534
37	0	C_EQ_1	C_EQ_1	0.852941176471	0.923402024925
37	1	C_EQ_1	C_EQ_1	0.852941176471	0.911072504831
38	0	C_EQ_1	C_EQ_1	0.377049180328	0.878595081875
38	1	C_EQ_1	C_EQ_1	0.177700348432	0.715581578709
38	2	C_EQ_1	C_EQ_1	0.457627118644	0.759275458751
39	0	C_EQ_1	C_EQ_1	0.100840336134	0.652984519431
39	1	C_EQ_1	C_EQ_1	0.0969696969697	0.652984519431
39	1	C_EQ_1	C_EQ_2	0.0915492957746	0.805155324045
39	1	C_EQ_2	C_EQ_1	0.078488372093	0.426380204174
39	1	C_EQ_2	C_EQ_2	0.217391304348	0.923402024925
39	2	C_EQ_1	C_EQ_1	0.0969696969697	0.652984519431
39	2	C_EQ_1	C_EQ_2	0.111587982833	0.805155324045
39	2	C_EQ_2	C_EQ_1	0.0971223021583	0.426380204174
