Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	1.0	0.892481148827
1	0	C_EQ_1	C_EQ_2	0.0	0.0
1	0	C_EQ_2	C_EQ_1	0.0	0.0
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	1.0	0.872773517293
1	1	C_EQ_1	C_EQ_2	0.0	0.0
1	1	C_EQ_2	C_EQ_1	0.0	0.0
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	1.0	0.862699565862
1	2	C_EQ_1	C_EQ_2	0.0	0.0
1	2	C_EQ_2	C_EQ_1	0.0	0.0
1	2	C_EQ_2	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.44	0.81025929725
2	1	C_EQ_1	C_EQ_1	0.44	0.81025929725
2	1	C_EQ_1	C_EQ_2	0.103274559194	0.834474529756
2	1	C_EQ_1	C_EQ_3	0.117142857143	0.834474529756
2	1	C_EQ_2	C_EQ_1	0.0619469026549	0.41180551662
2	1	C_EQ_2	C_EQ_2	0.215384615385	0.911072504831
2	1	C_EQ_2	C_EQ_3	0.150943396226	0.664060834122
3	0	C_EQ_1	C_EQ_1	0.49172999553	0.923402024925
3	1	C_EQ_1	C_EQ_1	0.49172999553	0.923402024925
4	0	C_EQ_1	C_EQ_1	0.401315789474	0.739285198677
4	1	C_EQ_1	C_EQ_1	0.401315789474	0.739285198677
5	0	C_EQ_1	C_EQ_1	0.369047619048	0.81394424641
5	0	C_EQ_1	C_EQ_2	0.136363636364	0.761442550599
5	0	C_EQ_2	C_EQ_1	0.25340599455	0.775645258873
5	0	C_EQ_2	C_EQ_2	0.190476190476	0.799009689565
5	1	C_EQ_1	C_EQ_1	0.369047619048	0.81394424641
5	1	C_EQ_1	C_EQ_2	0.190476190476	0.800483210472
5	1	C_EQ_2	C_EQ_1	0.369047619048	0.81394424641
5	1	C_EQ_2	C_EQ_2	0.190476190476	0.800483210472
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
5	2	C_EQ_2	C_EQ_1	0.0	0.0
5	2	C_EQ_2	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	1.0	0.923402024925
6	0	C_EQ_1	C_EQ_2	0.00251256281407	0.603738999477
6	0	C_EQ_2	C_EQ_1	0.00251256281407	0.603738999477
6	0	C_EQ_2	C_EQ_2	1.0	0.923402024925
6	1	C_EQ_1	C_EQ_1	1.0	0.961701012462
6	1	C_EQ_1	C_EQ_2	0.00613496932515	0.603909011178
6	1	C_EQ_2	C_EQ_1	0.00613496932515	0.603909011178
6	1	C_EQ_2	C_EQ_2	1.0	0.939297540937
6	2	C_EQ_1	C_EQ_1	1.0	0.939297540937
6	2	C_EQ_1	C_EQ_2	0.187741700109	0.831778689764
6	2	C_EQ_2	C_EQ_1	0.187741700109	0.831778689764
6	2	C_EQ_2	C_EQ_2	1.0	0.961701012462
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0742358078603	0.892481148827
7	1	C_EQ_1	C_EQ_1	0.101492537313	0.892481148827
8	0	C_EQ_1	C_EQ_1	0.0691244239631	0.829208284013
8	0	C_EQ_1	C_EQ_2	0.662921348315	0.862699565862
8	0	C_EQ_1	C_EQ_3	0.0678941311853	0.792179553784
8	0	C_EQ_1	C_EQ_4	0.681818181818	0.892481148827
8	0	C_EQ_2	C_EQ_1	0.681818181818	0.892481148827
8	0	C_EQ_2	C_EQ_2	0.0747782002535	0.792179553784
8	0	C_EQ_2	C_EQ_3	0.662921348315	0.858276905352
8	0	C_EQ_2	C_EQ_4	0.0761421319797	0.829208284013
8	0	C_EQ_3	C_EQ_1	0.0678941311853	0.792179553784
8	0	C_EQ_3	C_EQ_2	0.681818181818	0.911072504831
8	0	C_EQ_3	C_EQ_3	0.0691244239631	0.834474529756
8	0	C_EQ_3	C_EQ_4	0.662921348315	0.862699565862
