Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0	0.0
1	0	C_EQ_1	C_EQ_2	0.0	0.0
1	0	C_EQ_2	C_EQ_1	1.0	0.892481148827
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	0.0	0.0
1	1	C_EQ_1	C_EQ_2	0.0	0.0
1	1	C_EQ_2	C_EQ_1	0.181818181818	0.831778689764
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	0.0	0.0
1	2	C_EQ_1	C_EQ_2	0.0	0.0
1	2	C_EQ_2	C_EQ_1	1.0	0.862699565862
1	2	C_EQ_2	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.44	0.81025929725
2	1	C_EQ_1	C_EQ_1	0.44	0.81025929725
2	1	C_EQ_1	C_EQ_2	0.103274559194	0.834474529756
2	1	C_EQ_1	C_EQ_3	0.117142857143	0.834474529756
2	1	C_EQ_2	C_EQ_1	0.0835443037975	0.593396928141
2	1	C_EQ_2	C_EQ_2	0.433862433862	0.892481148827
2	1	C_EQ_2	C_EQ_3	0.495468277946	0.892481148827
2	1	C_EQ_3	C_EQ_1	0.0501792114695	0.41180551662
2	1	C_EQ_3	C_EQ_2	0.186588921283	0.744452864983
2	1	C_EQ_3	C_EQ_3	0.285714285714	0.939297540937
2	1	C_EQ_4	C_EQ_1	0.0460526315789	0.41180551662
2	1	C_EQ_4	C_EQ_2	0.285714285714	0.939297540937
2	1	C_EQ_4	C_EQ_3	0.19937694704	0.744452864983
3	0	C_EQ_1	C_EQ_1	0.00498640072529	0.703509652366
3	1	C_EQ_1	C_EQ_1	0.00498640072529	0.703509652366
4	0	C_EQ_1	C_EQ_1	0.461538461538	0.739285198677
4	1	C_EQ_1	C_EQ_1	0.461538461538	0.739285198677
5	0	C_EQ_1	C_EQ_1	0.369047619048	0.81394424641
5	0	C_EQ_1	C_EQ_2	0.136363636364	0.761442550599
5	0	C_EQ_2	C_EQ_1	0.25340599455	0.775645258873
5	0	C_EQ_2	C_EQ_2	0.190476190476	0.799009689565
5	1	C_EQ_1	C_EQ_1	0.369047619048	0.81394424641
5	1	C_EQ_1	C_EQ_2	0.190476190476	0.800483210472
5	1	C_EQ_2	C_EQ_1	0.369047619048	0.81394424641
5	1	C_EQ_2	C_EQ_2	0.190476190476	0.800483210472
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	1.0	0.923402024925
6	0	C_EQ_1	C_EQ_2	0.00251256281407	0.603738999477
6	0	C_EQ_2	C_EQ_1	0.00251256281407	0.603738999477
6	0	C_EQ_2	C_EQ_2	1.0	0.923402024925
6	0	C_EQ_3	C_EQ_1	0.181818181818	0.862699565862
6	0	C_EQ_3	C_EQ_2	0.0074812967581	0.614892863316
6	1	C_EQ_1	C_EQ_1	0.00742574257426	0.614892863316
6	1	C_EQ_1	C_EQ_2	0.285714285714	0.878595081875
6	1	C_EQ_2	C_EQ_1	0.714285714286	0.911072504831
6	1	C_EQ_2	C_EQ_2	0.00613496932515	0.603909011178
6	1	C_EQ_3	C_EQ_1	0.00911854103343	0.614892863316
6	1	C_EQ_3	C_EQ_2	0.160583941606	0.858276905352
6	2	C_EQ_1	C_EQ_1	0.240601503759	0.878595081875
6	2	C_EQ_1	C_EQ_2	0.13115931619	0.840296094337
6	2	C_EQ_2	C_EQ_1	0.00859598853868	0.614892863316
6	2	C_EQ_2	C_EQ_2	0.00550069587116	0.582507837973
6	2	C_EQ_3	C_EQ_1	1.0	0.939297540937
6	2	C_EQ_3	C_EQ_2	0.187741700109	0.831778689764
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0596026490066	0.850370045768
7	1	C_EQ_1	C_EQ_1	0.0818181818182	0.850370045768
8	0	C_EQ_1	C_EQ_1	0.0691244239631	0.829208284013
8	0	C_EQ_1	C_EQ_2	0.662921348315	0.862699565862
8	0	C_EQ_1	C_EQ_3	0.0678941311853	0.792179553784
8	0	C_EQ_1	C_EQ_4	0.681818181818	0.892481148827
8	0	C_EQ_2	C_EQ_1	0.681818181818	0.892481148827
8	0	C_EQ_2	C_EQ_2	0.0747782002535	0.792179553784
8	0	C_EQ_2	C_EQ_3	0.662921348315	0.858276905352
8	0	C_EQ_2	C_EQ_4	0.0761421319797	0.829208284013
8	0	C_EQ_3	C_EQ_1	0.0678941311853	0.792179553784
8	0	C_EQ_3	C_EQ_2	0.681818181818	0.911072504831
8	0	C_EQ_3	C_EQ_3	0.0691244239631	0.834474529756
8	0	C_EQ_3	C_EQ_4	0.662921348315	0.862699565862
8	0	C_EQ_4	C_EQ_1	0.662921348315	0.858276905352
8	0	C_EQ_4	C_EQ_2	0.0761421319797	0.834474529756
8	0	C_EQ_4	C_EQ_3	0.681818181818	0.9009985534
8	0	C_EQ_4	C_EQ_4	0.0747782002535	0.792179553784
8	1	C_EQ_1	C_EQ_1	0.0691676436108	0.792179553784
8	1	C_EQ_1	C_EQ_2	0.0691676436108	0.792179553784
8	1	C_EQ_1	C_EQ_3	0.0704225352113	0.834474529756
8	1	C_EQ_1	C_EQ_4	0.0704225352113	0.834474529756
8	1	C_EQ_2	C_EQ_1	0.0691676436108	0.792179553784
8	1	C_EQ_2	C_EQ_2	0.0691676436108	0.792179553784
8	1	C_EQ_2	C_EQ_3	0.0704225352113	0.834474529756
8	1	C_EQ_2	C_EQ_4	0.0704225352113	0.834474529756
9	0	C_EQ_1	C_EQ_1	0.125	0.9009985534
9	1	C_EQ_1	C_EQ_1	0.0666666666667	0.9009985534
10	0	C_EQ_1	C_EQ_1	1.0	0.892481148827
10	1	C_EQ_1	C_EQ_1	0.571428571429	0.831778689764
10	2	C_EQ_1	C_EQ_1	1.0	0.892481148827
11	0	C_EQ_1	C_EQ_1	1.0	0.872773517293
11	1	C_EQ_1	C_EQ_1	0.214285714286	0.850370045768
11	1	C_EQ_1	C_EQ_2	1.0	0.911072504831
11	1	C_EQ_2	C_EQ_1	0.272727272727	0.850370045768
11	1	C_EQ_2	C_EQ_2	0.4	0.862699565862
12	0	C_EQ_1	C_EQ_1	0.0	0.0
12	1	C_EQ_1	C_EQ_1	0.0	0.0
13	0	C_EQ_1	C_EQ_1	0.00223713646532	0.720976471214
13	1	C_EQ_1	C_EQ_1	0.00268096514745	0.720976471214
14	0	C_EQ_1	C_EQ_1	1.0	0.9009985534
14	1	C_EQ_1	C_EQ_1	1.0	0.885103037387
15	0	C_EQ_1	C_EQ_1	0.461538461538	0.872773517293
15	1	C_EQ_1	C_EQ_1	1.0	0.911072504831
16	0	C_EQ_1	C_EQ_1	0.00605143721634	0.679244469193
16	1	C_EQ_1	C_EQ_1	0.00605143721634	0.679244469193
17	0	C_EQ_1	C_EQ_1	1.0	0.939297540937
17	1	C_EQ_1	C_EQ_1	1.0	0.923402024925
18	0	C_EQ_1	C_EQ_1	1.0	0.939297540937
18	1	C_EQ_1	C_EQ_1	1.0	0.923402024925
19	0	C_EQ_1	C_EQ_1	0.142857142857	0.862699565862
19	1	C_EQ_1	C_EQ_1	0.1	0.862699565862
19	2	C_EQ_1	C_EQ_1	1.0	0.9009985534
20	0	C_EQ_1	C_EQ_1	1.0	0.9009985534
20	0	C_EQ_1	C_EQ_2	0.342857142857	0.872773517293
20	0	C_EQ_2	C_EQ_1	0.342857142857	0.872773517293
20	0	C_EQ_2	C_EQ_2	1.0	0.923402024925
20	1	C_EQ_1	C_EQ_1	1.0	0.9009985534
20	1	C_EQ_1	C_EQ_2	0.342857142857	0.872773517293
