Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0953678474114	0.459038797284
1	0	C_EQ_1	C_EQ_2	0.0	0.0
1	0	C_EQ_2	C_EQ_1	0.92	0.892481148827
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	0.0649350649351	0.457993958878
1	1	C_EQ_1	C_EQ_2	0.0	0.0
1	1	C_EQ_2	C_EQ_1	0.0476839237057	0.457993958878
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_3	C_EQ_1	1.0	0.872773517293
1	1	C_EQ_3	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	0.0649350649351	0.457993958878
1	2	C_EQ_1	C_EQ_2	0.0	0.0
1	2	C_EQ_2	C_EQ_1	0.0476839237057	0.457993958878
1	2	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_3	C_EQ_1	1.0	0.862699565862
1	2	C_EQ_3	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.291666666667	0.688656691045
2	1	C_EQ_1	C_EQ_1	0.0632530120482	0.471781251619
2	1	C_EQ_1	C_EQ_2	0.158808933002	0.695585582454
2	1	C_EQ_1	C_EQ_3	0.179775280899	0.695585582454
2	1	C_EQ_2	C_EQ_1	0.291666666667	0.688656691045
2	1	C_EQ_2	C_EQ_2	0.0424403183024	0.423904941628
2	1	C_EQ_2	C_EQ_3	0.0484848484848	0.423904941628
3	0	C_EQ_1	C_EQ_1	0.149118843199	0.9009985534
3	1	C_EQ_1	C_EQ_1	0.149118843199	0.9009985534
4	0	C_EQ_1	C_EQ_1	0.0126582278481	0.720976471214
4	1	C_EQ_1	C_EQ_1	0.4	0.720976471214
5	0	C_EQ_1	C_EQ_1	0.0687361419069	0.630788379329
5	0	C_EQ_1	C_EQ_2	0.0394088669951	0.619832913402
5	0	C_EQ_2	C_EQ_1	0.25340599455	0.775645258873
5	0	C_EQ_2	C_EQ_2	0.190476190476	0.799009689565
5	1	C_EQ_1	C_EQ_1	0.0687361419069	0.630788379329
5	1	C_EQ_1	C_EQ_2	0.0394088669951	0.619832913402
5	1	C_EQ_2	C_EQ_1	0.369047619048	0.81394424641
5	1	C_EQ_2	C_EQ_2	0.190476190476	0.800483210472
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
