Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label	
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018297	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018296	'replacement tooth'	PATO:0002261	'located in'	UBERON:4300137 and (BFO:0000050 some UBERON:0011595)	'lingual region' and (part_of some 'jaw region')
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018297	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018296	'replacement tooth'	PATO:0002261	'located in'	UBERON:4300139 and (BFO:0000050 some UBERON:0011595)	'posterolingual region' and (part_of some 'jaw region')
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018297	'resorption pit'	PATO:0000462	absent		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018296	'replacement tooth'	PATO:0002261	'located in'	UBERON:4300139 and (BFO:0000050 some UBERON:0011595)	'posterolingual region' and (part_of some 'jaw region')
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERON:4300127	'nuchal crest'	PATO:0000070	amount		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:4300127	'nuchal crest'	PATO:0000070	amount		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	BSPO:0000379 and (BFO:0000050 some UBERON:0004747)	'dorsal surface' and (part_of some 'supraoccipital bone')	PATO:0001875	triangular		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	BSPO:0000379 and (BFO:0000050 some UBERON:0004747)	'dorsal surface' and (part_of some 'supraoccipital bone')	PATO:0001369	raised		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	UBERON:0017098	'retractor lateralis posterior muscle'	PATO:0000140 and (PHENOSCAPE:complement_of some PATO:0002261)	position and (not some 'located in')	UBERON:4100111	'hemipenal sheath'
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	1	present	UBERON:0017098	'retractor lateralis posterior muscle'	PATO:0002261	'located in'	UBERON:4100111	'hemipenal sheath'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000570	'increased height'		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000569	'decreased height'		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERON:4300126	'tectorial restraint system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERON:4200199	'sallet sensory system'	PATO:0000462	absent		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERON:4300126	'tectorial restraint system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERON:4200199	'sallet sensory system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	2	more than 1/2 hair cells inertial	UBERON:4300126	'tectorial restraint system'	PATO:0000462	absent		
5	Inner ear, ciliary restraint for hair cells (E-140)	2	more than 1/2 hair cells inertial	UBERON:4200199	'sallet sensory system'	PATO:0000462	absent		
6	Dorsal process of premaxilla	0	absent or poorly defined with only partial contact with nasal bone	UBERON:3000003	'alary process of premaxilla'	PATO:0000462	absent		
