Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label	
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON_0018297	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON_0018297	'resorption pit'	PATO:0000587	'decreased size'		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON_0018297	'resorption pit'	PATO:0000462	absent		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0001786	split		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	BSPO:0000079 and (BFO:0000050 some UBERON:0003113)	'dorsal region' and (part_of some dermatocranium)	PATO:0001369	raised		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	BSPO:0000079 and (BFO:0000050 some UBERON:0003113)	'dorsal region' and (part_of some dermatocranium)	PATO:0001875	triangular		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	UBERONTEMP:000a0d60-aa06-477d-936c-ba14ac4f0c2d and (RO:0002219 some UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c)	'm. retractor lateralis posterior' and (surrounded by some 'hemipenial sheath')	PATO:0000462	absent		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	1	present	UBERONTEMP:000a0d60-aa06-477d-936c-ba14ac4f0c2d and (RO:0002219 some UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c)	'm. retractor lateralis posterior' and (surrounded by some 'hemipenial sheath')	PATO:0000467	present		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000119 and (PATO:decreased_in_magnitude_relative_to some (PATO:0000122 and (BFO:0000052 some UBERON:0001075)))	height and (decreased_in_magnitude_relative_to some (length and (inheres_in some 'vertebral centrum')))		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000119 and (PATO:increased_in_magnitude_relative_to some (PATO:0000122 and (BFO:0000052 some UBERON:0001075)))	height and (increased_in_magnitude_relative_to some (length and (inheres_in some 'vertebral centrum')))		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERONTEMP:9784fd41-af57-4b35-8fd6-6f64196109a7	'tectorial system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERONTEMP:657f231c-3c4d-4853-a17f-82c710315be6	'sallet system'	PATO:0000462	absent		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERONTEMP:9784fd41-af57-4b35-8fd6-6f64196109a7	'tectorial system'	PATO:0000467	present		
