188		2		UBERON_4200018 		PATO_0000039 			
188		1		UBERON_4200018 		PATO_0000039 			
188		0		UBERON_4200018 		PATO_0000462 			
186		2		UBERON_0003113 		PATO_0000462 			
186		2		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
186		1		UBERON_0003113 		PATO_0000467 			
186		1		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
186		1		UBERON_0003113 		PATO_0001779 			
186		1		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
186		3		UBERON_0003113 		PATO_0000467 			
186		3		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
186		3		UBERON_0003113 		PATO_0000700 			
186		3		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
186		3		UBERON_0004529 		PATO_0000467 			
186		0		UBERON_0003113 		PATO_0000467 			
186		0		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
186		0		UBERON_0003113 		PATO_0000700 			
186		0		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
186		0		UBERON_0003113 		PATOTEMP_6734e62a-dd4a-43cc-8e59-c6ac7280e12c 			
186		0		UBERON_0001062 and (BFO_0000050 some (UBERON_0002067 and (BFO_0000050 some UBERON_0003113))) 					
155		0		UBERON_3000966 and (BFO_0000050 some UBERON_0011637) 		PATO_0000463 			
155		1		UBERON_3000966 and (BFO_0000053 some PATO_0000463) 		PATO_0000467 			
155		1		UBERON_3000966 and (BFO_0000053 some PATO_0000463) 		PATO_0000467 			
43		1		UBERON_0001075 		PATO_0000574 			
43		2		UBERON_0001075 		PATO_0000573 			
43		0		UBERON_0001075 and (BFO_0000050 some UBERONTEMP_6be80d29-edb2-4da5-ae46-0ceed67a11fb) 					
54		1		UBERON_0010202 and (BSPO_passes_through some UBERON_0002542) 		PATO_0000467 			
54		0		UBERON_0010202 and (BSPO_passes_through some UBERON_0002542) 		PATO_0000462 			
156		1		UBERON_0018351 		PATO_0000467 			
156		1		UBERON_0018351 					
156		0		UBERON_0018351 		PATO_0000462 			
156		0		UBERON_0018351 					
189		1		UBERON_0001018 		PATO_0001505 		UBERON_0000989 	
189		1		UBERON_0001300 and (BFO_0000053 some PATO_0000140) 		PATO_0001505 		UBERON_0000989 	
189		1		UBERON_0001018 		PATO_0000463 			
189		1		UBERON_0001300 and (BFO_0000053 some PATO_0000140) 		PATO_0000463 			
189		0		UBERON_0001018 		RO_0002220 		UBERON_0000989 	
189		0		UBERON_0001300 and (BFO_0000053 some PATO_0000140) 		RO_0002220 		UBERON_0000989 	
189		0		UBERON_0001018 		PATO_0000467 			
189		0		UBERON_0001300 and (BFO_0000053 some PATO_0000140) 		PATO_0000467 			
29		1		UBERONTEMP_e32cebb4-2761-416b-aa1a-e94abfde6f99 		PATO_0000467 			
29		1		UBERONTEMP_e32cebb4-2761-416b-aa1a-e94abfde6f99 					
29		0		UBERONTEMP_e32cebb4-2761-416b-aa1a-e94abfde6f99 and (BFO_0000050 some UBERON_0003101) 		PATO_0000462 			
29		0		UBERONTEMP_e32cebb4-2761-416b-aa1a-e94abfde6f99 and (BFO_0000050 some UBERON_0003101) 					
140		1		null and (BFO_0000050 some (UBERON_0004704 and (BFO_0000050 some UBERON_0001860))) 					
140		1		null and (BFO_0000050 some UBERON_0004704) and (BFO_0000053 some PATOTEMP_37a095ce-53fc-4746-80ff-f7ce2a70ffa4) 		PATO_0000467 			
140		0		null and (BFO_0000050 some UBERON_0004704) and (BFO_0000053 some PATOTEMP_37a095ce-53fc-4746-80ff-f7ce2a70ffa4) 		PATO_0000462 			
173		0		UBERON_0004743 		PATO_0000467 			
173		0		UBERON_0018363 		PATO_0000467 			
173		0		UBERON_0018363 					
173		1		UBERON_0004743 		PATO_0000462 			
173		1		UBERON_0018363 		PATO_0000462 			
173		1		UBERON_0018363 					
39		2		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 		PATO_0000467 			
39		2		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 					
39		2		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 		PATO_0000467 			
39		2		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 					
39		2		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATO_0001154) 		PATO_0000467 			
39		2		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATO_0001154) 					
39		3		UBERON_0018317 		PATO_0000467 			
39		3		UBERON_0018317 					
39		3		UBERON_0018317 		PATO_0000467 			
39		3		UBERON_0018317 					
39		3		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATOTEMP_197a5ae7-fc5a-4ab1-bbc7-f90a332275ef) 		PATO_0000467 			
39		3		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATOTEMP_197a5ae7-fc5a-4ab1-bbc7-f90a332275ef) 					
39		3		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATO_0001154) 		PATO_0000467 			
39		3		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATO_0001154) 					
39		1		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 		PATO_0000467 			
39		1		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 					
39		1		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 		PATO_0000467 			
39		1		UBERON_0018317 and (BFO_0000050 some UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5) 					
39		1		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATOTEMP_197a5ae7-fc5a-4ab1-bbc7-f90a332275ef) 		PATO_0000467 			
39		1		UBERONTEMP_85b115a4-574c-4204-a53a-278a6d60a7d5 and (BFO_0000053 some PATOTEMP_197a5ae7-fc5a-4ab1-bbc7-f90a332275ef) 					
39		0		UBERON_0018317 		PATO_0000462 			
39		0		UBERON_0018317 					
134		0		UBERON_0002239 and (BFO_0000050 some (BSPO_0000071 and (BFO_0000050 some UBERON_0001095))) 		PATO_0000070 			
134		0		UBERON_0002239 and (BFO_0000050 some (BSPO_0000071 and (BFO_0000050 some UBERON_0001095))) 					
134		2		UBERON_0002239 		PATO_0000462 			
134		2		UBERON_0002239 					
134		1		UBERON_0002239 and (BFO_0000050 some (BSPO_0000071 and (BFO_0000050 some UBERON_0001095))) 		PATO_0000070 			
134		1		UBERON_0002239 and (BFO_0000050 some (BSPO_0000071 and (BFO_0000050 some UBERON_0001095))) 					
134		1				PATOTEMP_90107b2b-e954-4469-8e9f-f19a5c6eb557 			
144		1		UBERON_2000106 and (BFO_0000050 some UBERON_0000152) 		PATO_0000467 			
144		1		UBERON_2000106 and (BFO_0000050 some UBERON_0000152) and (BFO_0000053 some PATO_0000573) 		PATO_0000467 			
144		0		UBERON_2000106 and (BFO_0000050 some UBERON_0000152) 		PATO_0000070 and (PHENOSCAPE_complement_of some PATO_0000467) 			
144		0		UBERON_2000106 and (BFO_0000050 some UBERON_0000152) and (BFO_0000053 some PATO_0000573) 		PATO_0000462 			
114		0		UBERON_3000454 		PATOTEMP_251eb770-5822-400b-9c99-b3e238edd6d1 			
114		0		UBERON_3000454 					
114		1		UBERON_3000454 		PATOTEMP_1f6f1f3a-7529-4b9f-b5ed-edeb5f00b249 			
114		1		UBERON_3000454 					
171		0		UBERON_0001273 		PATO_0000467 			
171		0		UBERON_0001274 					
171		0		UBERON_0001273 		PATO_0000467 			
171		0		UBERON_0001274 					
171		0				PATO_0002443 			
171		1		UBERON_0001273 		PATO_0000070 and (PHENOSCAPE_complement_of some PATO_0000467) 			
171		1		UBERON_0001274 					
171		1		UBERON_0001273 		PATO_0000070 and (PHENOSCAPE_complement_of some PATO_0000467) 			
171		1		UBERON_0001274 					
171		1				PATO_0000140 and (PHENOSCAPE_complement_of some PATO_0002443) 			
77		1		UBERON_0018318 and (BFO_0000050 some UBERON_0004746) 		PATO_0001997 			
77		1		UBERON_0018318 and (BFO_0000050 some UBERON_0004746) 					
77		1		UBERON_0018318 and (BFO_0000050 some UBERON_0004746) 		PATO_0000462 			
77		1		UBERON_0018318 and (BFO_0000050 some UBERON_0004746) 					
77		0		UBERON_0018318 and (BFO_0000050 some UBERON_0004746) 		PATO_0000467 			
77		0		UBERON_0018318 and (BFO_0000050 some UBERON_0004746) 					
77		0		UBERON_0004704 		PATO_0000467 			
77		0		UBERON_0004704 and (BFO_0000053 some PATO_0000463) 		PATO_0000467 			
41		1		UBERONTEMP_77dc0e17-6de8-4115-a7f6-9e692dab9029 		PATO_0002232 			
41		1		UBERONTEMP_77dc0e17-6de8-4115-a7f6-9e692dab9029 					
41		0		UBERONTEMP_77dc0e17-6de8-4115-a7f6-9e692dab9029 		PATO_0002006 and (PHENOSCAPE_complement_of some PATO_0002232) 			
41		0		UBERONTEMP_77dc0e17-6de8-4115-a7f6-9e692dab9029 					
24		1		BSPO_0000082 and (BFO_0000050 some UBERON_0009979) 		PATO_0001505 		UBERON_3000784 	
24		1		UBERON_0000180 and (BFO_0000050 some UBERON_0009979) 					
24		1		UBERON_0006846 		PATO_0000467 			
24		1		UBERON_0006846 					
24		0		BSPO_0000082 and (BFO_0000050 some UBERON_0009979) 		PATO_0000141 and (PHENOSCAPE_complement_of some PATO_0001505) 		UBERON_3000784 	
24		0		UBERON_0000180 and (BFO_0000050 some UBERON_0009979) 					
24		0		UBERON_0006846 		PATO_0000462 			
24		0		UBERON_0006846 					
191		1				PATO_0000467 			
191		1				PATO_0000322 			
191		1				PATOTEMP_54859750-f781-473b-914e-5fd28d57d5a1 			
191		0				PATO_0000070 and (PHENOSCAPE_complement_of some PATO_0000467) 			
191		0				PATO_0001300 and (PHENOSCAPE_complement_of some PATO_0000322) 			
191		0				PATO_0002006 and (PHENOSCAPE_complement_of some PATOTEMP_54859750-f781-473b-914e-5fd28d57d5a1) 			
34		2		UBERON_0006428 and (BFO_0000053 some PATO_0000467) 		PATO_0000467 			
34		1		UBERON_0006428 and (BFO_0000053 some PATO_0000467) 		PATO_0000467 			
34		0		UBERON_0006428 and (BFO_0000053 some PATO_0000467) 					
34		3		UBERON_0006428 and (BFO_0000053 some PATO_0000467) 		PATO_0000467 			
1		2		UBERON_0003672 		PATO_0000467 			
1		2		GO_0036075 		PATO_0000467 			
1		2		UBERON_0010362 					
1		2		UBERON_0010522 					
1		2		UBERON_0012075 					
1		2		UBERON_0018296 					
1		0		UBERON_0003672 		PATO_0000467 			
1		0		GO_0036075 		PATO_0000467 			
1		0		UBERON_0010362 					
1		0		UBERON_0010522 					
1		0		UBERON_0012075 					
1		0		UBERON_0018296 					
1		0		UBERON_0018297 and (BFO_0000053 some PATO_0000586) 		PATO_0000467 			
1		0		UBERON_0018297 and (BFO_0000053 some PATO_0000586) 					
1		1		UBERON_0003672 		PATO_0000467 			
1		1		GO_0036075 		PATO_0000467 			
1		1		UBERON_0010362 					
1		1		UBERON_0010522 					
1		1		UBERON_0012075 					
1		1		UBERON_0018296 					
52		1		BSPO_0000384 and (BFO_0000050 some UBERON_0000468) 		PATO_0000467 			
52		0		BSPO_0000384 and (BFO_0000050 some UBERON_0000468) 		PATO_0000070 and (PHENOSCAPE_complement_of some PATO_0000467) 			
138		1		UBERON_0001695 		PATO_0000467 			
138		1		UBERON_0018364 		PATO_0000467 			
138		1		UBERON_0018364 					
138		0		UBERON_0001695 		PATO_0000462 			
138		0		UBERON_0018364 		PATO_0000462 			
138		0		UBERON_0018364 					
116		0		UBERON_0001567 		PATO_0000467 			
116		0		UBERON_0010910 					
116		0		UBERON_0001062 and (BFO_0000050 some UBERON_0001567) 					
116		0		UBERON_0001062 and (BFO_0000050 some UBERON_0010910) 					
116		1		UBERON_0001567 		PATO_0000467 			
116		1		UBERON_0010910 					
116		1		UBERON_0001062 and (BFO_0000050 some UBERON_0001567) 					
116		1		UBERON_0001062 and (BFO_0000050 some UBERON_0010910) 					
116		1		UBERON_0001567 		PATOTEMP_5ecbb067-bdff-405c-9ea6-d2dac28b99b5 			
116		1		UBERON_0010910 					
