PATO:0000000	pato
PATO:0000001	quality
PATO:0000002	value
PATO:0000003	assay
PATO:0000004	mobility
PATO:0000005	absolute activity
PATO:0000006	process
PATO:0000007	relative activity
PATO:0000008	speed
PATO:0000009	absolute speed
PATO:0000010	relative speed
PATO:0000011	age
PATO:0000012	absolute age
PATO:0000013	relative age
PATO:0000014	color
PATO:0000015	color hue
PATO:0000016	color brightness
PATO:0000017	color saturation
PATO:0000018	fluorescence
PATO:0000019	color pattern
PATO:0000021	compatibility
PATO:0000022	gametophytic compatability
PATO:0000023	relative compatability
PATO:0000024	sporophytic compatability
PATO:0000025	composition
PATO:0000026	carbohydrate composition
PATO:0000027	electrolyte composition
PATO:0000028	macromolecular composition
PATO:0000029	protein composition
PATO:0000030	enzyme composition
PATO:0000031	metabolite composition
PATO:0000032	secondary product composition
PATO:0000033	concentration of
PATO:0000034	protein concentration
PATO:0000035	carbohydrate concentration
PATO:0000036	water content
PATO:0000037	consistency
PATO:0000038	gel consistency
PATO:0000039	direction
PATO:0000040	distance
PATO:0000041	absolutedistance
PATO:0000042	relative distance
PATO:0000043	flavor
PATO:0000044	frequency
PATO:0000045	absolute frequency
PATO:0000046	relative frequency
PATO:0000047	biological sex
PATO:0000048	hardness
PATO:0000049	intensity
PATO:0000050	life span
PATO:0000051	morphology
PATO:0000052	shape
PATO:0000054	absolute number
PATO:0000055	relative number
PATO:0000056	trophic quality
PATO:0000057	occurrence
PATO:0000058	odor
PATO:0000059	parental quality
PATO:0000060	spatial pattern
PATO:0000061	relative pattern
PATO:0000062	sleep pattern
PATO:0000063	percentage
PATO:0000064	absolute percentage
PATO:0000065	relative percentage
PATO:0000066	pilosity
PATO:0000067	relative pilosity
PATO:0000068	qualitative
PATO:0000069	deviation(from_normal)
PATO:0000070	count
PATO:0000073	relative_quality
PATO:0000074	shattering
PATO:0000075	threshability
PATO:0000076	regulation
PATO:0000077	response to
PATO:0000078	rhythm quality
PATO:0000079	absolute rhythym
PATO:0000080	amplitude
PATO:0000082	persistence
PATO:0000083	phase
PATO:0000084	relative rhythym
PATO:0000085	sensitivity toward
PATO:0000086	absolute sensitivity
PATO:0000087	disease sensitivity
PATO:0000088	absolute disease sensitivity
PATO:0000089	relative disease sensitivity
PATO:0000090	relative sensitivity
PATO:0000091	stress sensitivity
PATO:0000092	abiotic stress sensitivity
PATO:0000093	chemical sensitivity
PATO:0000094	drug sensitivity
PATO:0000095	absolute drug sensitivity
PATO:0000096	relative drug sensitivity
PATO:0000097	herbicide sensitivity
PATO:0000098	insecticide sensitivity
PATO:0000099	plant growth hormone sensitivity
PATO:0000100	soil composition sensitivity
PATO:0000101	soil nutrient sensitivity
PATO:0000102	macronutrient sensitivity
PATO:0000103	micronutrient sensitivity
PATO:0000104	osmotic response sensitivity
PATO:0000105	p h sensitivity
PATO:0000106	acid sensitivity
PATO:0000107	alkali sensitivity
PATO:0000108	salt sensitivity
PATO:0000109	water sensitivity
PATO:0000110	drought sensitivity
PATO:0000111	flooding sensitivity
PATO:0000112	humidity sensitivity
PATO:0000113	radiation sensitivity
PATO:0000114	temperature sensitivity
PATO:0000115	absolute temperature sensitivity
PATO:0000116	relative temperature sensitivity
PATO:0000117	size
PATO:0000118	absolute size
PATO:0000119	height
PATO:0000120	absolute height
PATO:0000121	relative height
PATO:0000122	length
PATO:0000123	absolute length
